KNeighborsTimeSeriesClassifier;BOSSEnsemble;HIVECOTE1;HIVECOTE2;RISE;ROCKET;ShapeletTransformClassifier;TimeSeriesForestClassifier;InceptionTime
0,955954323;0,716965742;0,92903752;0,917618271;0,898042414;0,867047308;0,968189233;0,959216966;0,992113136
0,971451876;0,650081566;0,867047308;0,913539967;0,886623165;0,85725938;0,972267537;0,962479608;0,994288822
0,965742251;0,657422512;0,913539967;0,879282219;0,885807504;0,849918434;0,964926591;0,948613377;0,994016862
0,969004894;0,662316476;0,919249592;0,915171289;0,885807504;0,862153344;0,953507341;0,953507341;0,991297253
0,970636215;0,67862969;0,935562806;0,910277325;0,902936378;0,85725938;0,974714519;0,969004894;0,993200979
0,972267537;0,681076672;0,887438825;0,924959217;0,879282219;0,872756933;0,955954323;0,944535073;0,994288822
0,967346939;0,671020408;0,968979592;0,884897959;0,885714286;0,874285714;0,960816327;0,968163265;0,994832744
0,982040816;0,690612245;0,952653061;0,918367347;0,904489796;0,869387755;0,959183673;0,972244898;0,993744901
0,973877551;0,697959184;0,914285714;0,911836735;0,885714286;0,873469388;0,963265306;0,96244898;0,993744901
0,975510204;0,68244898;0,926530612;0,915102041;0,897959184;0,892244898;0,973877551;0,969795918;0,993744901
