timestamp,TGS826,TGS2611,TGS2603,TGS813,TGS822,TGS2602,TGS823,temperatura,pressao,umidade,c_type,culture_day
1623172624.3979144,81430.0,7277.0,6026.0,45810.0,3146.0,27350.0,7893.0,65.17,99.87,11.18,1,1
1623172625.6964478,81480.0,7277.0,6026.0,45540.0,3150.0,27360.0,7904.0,65.17,99.87,11.13,1,1
1623172628.7474155,18460.0,35160.0,16990.0,44120.0,421.2,1970.0,3470.0,65.26,73.13,9.01,1,1
1623172629.118675,17180.0,45020.0,16520.0,43330.0,283.7,1342.0,2891.0,65.27,73.09,9.08,1,1
1623172629.721733,16880.0,49150.0,16200.0,42890.0,237.7,1107.0,2650.0,65.31,73.33,8.85,1,1
1623172630.3800688,16960.0,51520.0,15980.0,42570.0,217.2,984.3,2515.0,65.36,73.09,8.91,1,1
1623172631.0217352,17080.0,53070.0,15760.0,42380.0,207.9,911.3,2424.0,65.4,73.48,8.83,1,1
1623172631.718578,17260.0,54220.0,15550.0,42260.0,203.8,865.1,2361.0,65.4,73.13,8.74,1,1
1623172632.347757,17410.0,55130.0,15380.0,42220.0,202.7,834.4,2313.0,65.43,73.4,8.84,1,1
1623172632.71833,17610.0,55820.0,15220.0,42300.0,202.1,814.0,2276.0,65.45,73.13,8.73,1,1
1623172633.381894,17790.0,56430.0,15100.0,42300.0,202.7,800.2,2248.0,65.45,73.17,8.78,1,1
1623172634.0049157,17940.0,56880.0,14980.0,42420.0,203.2,790.6,2226.0,65.46,73.52,8.76,1,1
1623172634.6888418,18050.0,57300.0,14880.0,42420.0,203.2,784.7,2210.0,65.45,73.21,8.74,1,1
1623172635.255351,18100.0,57610.0,14790.0,42490.0,206.7,779.6,2196.0,65.42,73.21,8.67,1,1
1623172635.719595,18240.0,57890.0,14730.0,42650.0,205.6,776.4,2184.0,65.45,73.25,8.9,1,1
1623172636.3630655,18310.0,58140.0,14680.0,42770.0,205.6,774.2,2177.0,65.46,73.44,8.84,1,1
1623172637.0388749,18400.0,58340.0,14630.0,42850.0,207.3,772.8,2172.0,65.43,73.25,8.7,1,1
1623172637.6045327,18470.0,58540.0,14590.0,42890.0,208.5,771.9,2166.0,65.42,73.33,8.8,1,1
1623172638.3529234,18540.0,58710.0,14570.0,43050.0,208.5,771.0,2162.0,65.42,73.4,8.57,1,1
1623172638.7182946,18580.0,58830.0,14520.0,43290.0,209.6,770.5,2160.0,65.37,73.33,8.8,1,1
1623172639.3537266,18620.0,58970.0,14520.0,43450.0,210.8,769.6,2156.0,65.37,73.21,8.9,1,1
1623172640.0104969,18640.0,59110.0,14530.0,43500.0,209.1,768.7,2155.0,65.37,73.48,8.78,1,1
1623172640.674914,18660.0,59220.0,14510.0,43660.0,210.8,768.3,2155.0,65.37,73.44,8.75,1,1
1623172641.3337128,18720.0,59320.0,14510.0,43870.0,211.4,768.3,2152.0,65.34,73.4,8.74,1,1
1623172641.7185311,18800.0,59400.0,14510.0,43950.0,212.0,767.8,2152.0,65.34,73.44,8.68,1,1
1623172642.3744006,18810.0,59480.0,14500.0,44070.0,212.6,766.9,2151.0,65.31,73.25,8.78,1,1
1623172642.9336925,18850.0,59570.0,14510.0,44240.0,213.1,765.1,2151.0,65.31,73.52,8.79,1,1
1623172643.6813593,18850.0,59630.0,14500.0,44410.0,213.1,765.1,2150.0,65.3,73.25,8.9,1,1
1623172644.2425363,18860.0,59700.0,14500.0,44540.0,212.6,764.6,2149.0,65.26,73.36,8.81,1,1
1623172644.7193923,18920.0,59760.0,14510.0,44540.0,213.1,763.3,2150.0,65.26,73.48,8.76,1,1
1623172645.3752165,18910.0,59820.0,14530.0,44760.0,213.7,762.3,2150.0,65.23,73.36,8.9,1,1
1623172646.0209022,18930.0,59840.0,14540.0,44840.0,213.1,761.4,2152.0,65.23,73.44,8.83,1,1
1623172646.5836446,18950.0,59920.0,14540.0,45020.0,213.7,761.0,2151.0,65.2,73.36,8.75,1,1
1623172647.3180974,18980.0,59960.0,14570.0,45150.0,213.7,760.1,2152.0,65.17,73.33,8.72,1,1
1623172647.7199364,19040.0,59990.0,14570.0,45230.0,212.6,759.2,2152.0,65.15,73.52,8.81,1,1
1623172648.3501,19060.0,60350.0,14310.0,44240.0,213.7,753.7,2119.0,65.23,96.98,9.2,1,1
1623172649.5866942,21810.0,60040.0,14930.0,45860.0,221.9,756.9,2190.0,65.26,99.91,10.87,1,1
1623172650.336798,22540.0,59930.0,15130.0,46450.0,223.1,756.0,2213.0,65.23,99.87,10.97,1,1
1623172650.7191992,23370.0,59740.0,15410.0,47160.0,226.0,755.1,2244.0,65.2,99.87,11.13,1,1
1623172651.3428848,23980.0,59570.0,15650.0,47590.0,227.2,755.5,2273.0,65.15,99.95,11.2,1,1
1623172652.000541,24300.0,59400.0,15860.0,47830.0,228.9,755.5,2298.0,65.15,99.95,11.12,1,1
1623172652.5704284,24640.0,59250.0,16060.0,48030.0,229.5,756.9,2320.0,65.14,99.83,11.14,1,1
1623172653.31801,24830.0,59110.0,16190.0,48180.0,231.8,758.3,2337.0,65.13,99.91,11.15,1,1
1623172653.7218297,24970.0,58970.0,16320.0,48130.0,233.0,759.6,2356.0,65.1,99.87,11.07,1,1
1623172654.3661225,25060.0,58840.0,16470.0,48030.0,234.2,761.4,2371.0,65.08,99.87,11.09,1,1
1623172654.9838176,25150.0,58720.0,16580.0,48030.0,235.4,764.2,2386.0,65.05,99.99,11.22,1,1
1623172655.6415477,25250.0,58640.0,16670.0,47930.0,236.5,766.4,2400.0,65.05,99.95,11.15,1,1
1623172656.353227,25290.0,58550.0,16750.0,47730.0,237.7,768.3,2410.0,65.04,99.91,11.12,1,1
1623172656.7183409,25360.0,58430.0,16840.0,47490.0,238.3,770.5,2422.0,65.04,99.83,11.02,1,1
1623172657.3421817,25440.0,58340.0,16910.0,47400.0,238.9,773.3,2432.0,65.02,99.91,11.05,1,1
1623172657.9888284,25530.0,58250.0,16970.0,47160.0,240.1,775.5,2443.0,65.01,99.95,11.05,1,1
1623172658.662084,25620.0,58150.0,17030.0,46970.0,240.1,777.8,2452.0,65.01,99.87,11.04,1,1
1623172659.3165128,25690.0,58030.0,17100.0,46690.0,241.2,780.6,2462.0,65.01,99.95,10.98,1,1
1623172659.7181263,25790.0,57960.0,17150.0,46450.0,241.8,782.8,2470.0,65.0,99.99,10.93,1,1
1623172660.320923,25870.0,57850.0,17210.0,46220.0,242.4,785.1,2479.0,64.98,99.91,11.0,1,1
1623172661.012298,25980.0,57730.0,17250.0,45950.0,241.8,787.4,2487.0,64.98,99.91,11.05,1,1
1623172661.5845516,26060.0,57620.0,17300.0,45770.0,244.2,789.7,2496.0,64.98,99.91,10.98,1,1
1623172662.2319822,26200.0,57510.0,17380.0,45410.0,244.7,792.0,2504.0,64.97,99.87,10.93,1,1
1623172662.7191832,26270.0,57410.0,17430.0,44970.0,245.3,794.3,2512.0,64.95,99.79,11.0,1,1
1623172663.3491218,26380.0,57290.0,17480.0,44840.0,245.9,796.6,2520.0,64.97,99.91,10.94,1,1
1623172663.9893205,26480.0,57170.0,17530.0,44500.0,246.5,798.9,2529.0,64.97,99.91,11.0,1,1
1623172664.6470425,26580.0,57050.0,17580.0,44240.0,247.1,801.2,2536.0,64.94,99.91,11.0,1,1
1623172665.345328,26680.0,56930.0,17630.0,43990.0,247.7,803.0,2544.0,64.95,99.91,11.11,1,1
1623172665.7182107,26810.0,56810.0,17670.0,43580.0,248.3,805.3,2550.0,64.94,99.87,11.02,1,1
1623172666.3191352,26890.0,56690.0,17720.0,43290.0,248.9,807.1,2560.0,64.94,99.87,11.04,1,1
1623172666.988068,26960.0,56570.0,17770.0,43010.0,250.6,809.9,2567.0,64.92,99.91,10.84,1,1
1623172667.5518396,27090.0,56420.0,17820.0,42770.0,250.6,812.2,2574.0,64.92,99.91,10.9,1,1
1623172668.2282355,27190.0,56300.0,17860.0,42570.0,250.6,814.5,2582.0,64.92,99.91,10.94,1,1
1623172668.717614,27320.0,56160.0,17930.0,42180.0,251.2,816.3,2591.0,64.92,99.91,10.83,1,1
1623172669.3207016,27420.0,56040.0,17940.0,41760.0,253.0,819.1,2597.0,64.92,99.95,10.91,1,1
1623172669.9922645,27500.0,55910.0,18000.0,41540.0,253.6,821.0,2604.0,64.94,99.91,11.09,1,1
1623172670.5628688,27630.0,55780.0,18050.0,41270.0,254.2,823.3,2612.0,64.91,99.87,11.0,1,1
1623172671.3194692,27750.0,55640.0,18090.0,40980.0,255.3,825.6,2619.0,64.91,99.87,10.93,1,1
1623172671.7840674,27860.0,55510.0,18140.0,40720.0,255.9,828.4,2627.0,64.92,99.91,10.91,1,1
1623172672.3230174,27960.0,55380.0,18180.0,40440.0,255.9,831.1,2635.0,64.91,99.87,11.0,1,1
1623172672.9900196,28070.0,55230.0,18230.0,40120.0,257.7,833.5,2642.0,64.92,99.91,10.92,1,1
1623172673.640136,28170.0,55110.0,18270.0,39840.0,258.3,835.8,2650.0,64.91,99.87,10.87,1,1
1623172674.3065443,28260.0,54980.0,18310.0,39600.0,257.7,838.6,2657.0,64.89,99.95,11.12,1,1
1623172674.7179084,28340.0,54830.0,18360.0,39360.0,258.9,841.4,2663.0,64.89,99.95,11.02,1,1
1623172675.3599129,28500.0,54690.0,18400.0,39050.0,260.0,843.7,2671.0,64.89,99.91,10.89,1,1
1623172675.9730575,28600.0,54550.0,18440.0,38790.0,261.2,846.0,2678.0,64.89,99.91,10.95,1,1
1623172676.5519545,28720.0,54420.0,18480.0,38490.0,261.8,849.3,2687.0,64.91,99.91,10.9,1,1
1623172677.2880695,28800.0,54280.0,18520.0,38330.0,262.4,851.6,2694.0,64.89,99.83,10.99,1,1
