@relation AllCandidas_TRAIN_V2

@attribute TGS826 numeric
@attribute TGS2611 numeric
@attribute TGS2603 numeric
@attribute TGS813 numeric
@attribute TGS822 numeric
@attribute TGS2602 numeric
@attribute TGS823 numeric
@attribute culture_day numeric
@attribute class numeric

@data
23210.0,50050.0,18240.0,38460.0,306.8,1185.0,2968.0,2,5
14280.0,57150.0,14070.0,30840.0,193.9,679.4,2026.0,1,5
19770.0,47210.0,17700.0,17100.0,255.3,797.0,2547.0,2,2
47070.0,23320.0,28060.0,24090.0,627.3,2421.0,5485.0,2,3
7782.0,54440.0,9657.0,16690.0,134.5,482.9,1370.0,1,2
18900.0,51160.0,17380.0,21970.0,254.2,792.4,2504.0,2,2
54800.0,23380.0,27700.0,28590.0,645.8,2759.0,5757.0,2,5
27780.0,50480.0,20020.0,32700.0,290.8,985.7,2999.0,2,1
34890.0,44070.0,23240.0,37410.0,389.0,1389.0,3793.0,2,5
50980.0,20350.0,29540.0,26510.0,654.8,2447.0,5743.0,2,4
102800.0,7305.0,6049.0,66870.0,3190.0,23440.0,7761.0,1,6
86120.0,7270.0,6020.0,43950.0,3233.0,27880.0,7922.0,2,6
77420.0,7616.0,18490.0,43410.0,1403.0,8117.0,7407.0,2,5
16290.0,50820.0,12670.0,15000.0,183.5,579.2,1781.0,1,2
87610.0,7235.0,6049.0,42530.0,2876.0,23910.0,7860.0,2,6
51070.0,23590.0,29440.0,22580.0,634.3,2151.0,5424.0,2,2
33780.0,39210.0,22690.0,19500.0,319.9,998.9,3334.0,1,5
13190.0,58030.0,13490.0,25860.0,206.7,658.7,1942.0,2,1
15730.0,56310.0,12140.0,21530.0,198.0,656.5,1787.0,1,2
54010.0,32160.0,26960.0,24270.0,438.9,1719.0,4621.0,1,5
13830.0,55720.0,13950.0,21990.0,220.1,645.5,1981.0,2,2
87190.0,3814.0,9040.0,35300.0,2341.0,15060.0,7697.0,2,6
46060.0,30020.0,29250.0,26170.0,465.3,1570.0,4774.0,1,5
16120.0,57390.0,16380.0,31150.0,223.7,682.5,2292.0,2,4
17410.0,49120.0,16180.0,17130.0,241.8,735.2,2314.0,2,2
51570.0,27300.0,28750.0,32680.0,572.3,2069.0,5236.0,1,2
87010.0,3814.0,8651.0,33220.0,2558.0,15640.0,7731.0,2,6
88340.0,7010.0,12410.0,36560.0,2136.0,13760.0,7648.0,2,6
56210.0,22490.0,27640.0,46270.0,760.8,3177.0,6132.0,2,4
75570.0,10400.0,19350.0,32870.0,1268.0,6466.0,6804.0,1,6
47820.0,22790.0,28280.0,24440.0,633.1,2431.0,5530.0,2,3
33070.0,40210.0,24230.0,27790.0,398.1,1381.0,3914.0,2,3
44950.0,34280.0,28420.0,24120.0,379.4,1276.0,4343.0,1,1
35140.0,48830.0,19580.0,28030.0,282.5,968.8,2930.0,1,5
47000.0,30640.0,28970.0,24220.0,476.4,1766.0,4951.0,2,1
37890.0,29320.0,29100.0,20800.0,444.4,1526.0,4706.0,2,4
100700.0,7305.0,6049.0,61360.0,3422.0,24280.0,7797.0,1,6
14810.0,52310.0,11950.0,15330.0,176.0,543.4,1671.0,1,2
33210.0,36950.0,24620.0,18390.0,375.1,1285.0,3868.0,2,4
44590.0,28530.0,30070.0,34750.0,521.0,1932.0,5287.0,2,4
21920.0,48880.0,18960.0,23550.0,278.3,922.3,2812.0,2,2
36790.0,32750.0,26300.0,17900.0,435.3,1468.0,4271.0,2,2
79050.0,7214.0,14640.0,39460.0,1839.0,11180.0,7562.0,1,6
31230.0,40850.0,23610.0,24990.0,380.6,1283.0,3735.0,2,3
29550.0,50370.0,18670.0,25060.0,254.2,810.8,2672.0,1,1
23810.0,59770.0,15940.0,40050.0,219.6,685.2,2243.0,1,1
73610.0,12720.0,23160.0,52990.0,1170.0,5402.0,6997.0,2,4
34600.0,51140.0,19720.0,30060.0,257.7,808.5,2794.0,1,1
85950.0,7277.0,6020.0,43990.0,3251.0,27930.0,7931.0,2,6
39300.0,29400.0,26860.0,22190.0,519.1,1974.0,4861.0,2,2
18410.0,57200.0,18350.0,39870.0,237.7,760.1,2586.0,2,4
41040.0,29130.0,29880.0,27100.0,475.2,1657.0,4958.0,2,4
14880.0,50440.0,16770.0,27160.0,255.9,891.5,2530.0,2,3
46420.0,30120.0,29260.0,28080.0,480.7,1653.0,4870.0,1,5
14420.0,55210.0,14380.0,21750.0,223.7,655.2,2041.0,2,2
90230.0,7277.0,6043.0,50230.0,2965.0,24060.0,7891.0,2,6
55740.0,22400.0,27950.0,32460.0,661.2,2801.0,5837.0,2,5
57540.0,21370.0,27570.0,34800.0,695.9,3019.0,5976.0,2,5
88720.0,7249.0,6014.0,43090.0,3060.0,26620.0,7926.0,2,6
38770.0,29580.0,29490.0,22630.0,451.2,1558.0,4798.0,2,4
24290.0,48510.0,20920.0,35550.0,327.7,1092.0,3212.0,2,3
39030.0,39060.0,24770.0,30370.0,434.7,1575.0,4180.0,2,5
36720.0,36800.0,24790.0,28470.0,445.7,1671.0,4277.0,2,3
87860.0,7249.0,6020.0,42730.0,3088.0,26710.0,7924.0,2,6
80540.0,7277.0,12030.0,43370.0,2197.0,14440.0,7693.0,1,6
9621.0,60610.0,8836.0,19920.0,156.3,453.1,1257.0,1,2
19470.0,50420.0,18270.0,21090.0,237.7,741.1,2559.0,2,4
14550.0,52100.0,12010.0,15190.0,176.5,537.1,1672.0,1,2
20830.0,49040.0,19380.0,21140.0,252.4,796.1,2740.0,2,4
54930.0,22620.0,28060.0,30540.0,651.6,2740.0,5799.0,2,5
53830.0,23030.0,30590.0,25090.0,622.9,2102.0,5542.0,2,4
82290.0,7242.0,14450.0,40080.0,1908.0,10490.0,7295.0,1,6
89460.0,7256.0,6009.0,44760.0,3075.0,27070.0,7933.0,2,6
36370.0,29030.0,28730.0,17490.0,429.2,1453.0,4577.0,2,4
11040.0,64050.0,9245.0,25630.0,155.2,456.0,1303.0,1,2
22310.0,51440.0,18370.0,23540.0,254.7,789.2,2616.0,2,1
53960.0,23300.0,27990.0,28340.0,636.2,2666.0,5710.0,2,5
73040.0,11010.0,20670.0,30310.0,1190.0,5728.0,6673.0,1,6
48370.0,29380.0,29130.0,26810.0,485.0,1707.0,4911.0,1,5
19180.0,52550.0,17580.0,25780.0,259.4,819.6,2555.0,2,2
86530.0,7207.0,6020.0,40510.0,3075.0,26330.0,7918.0,2,6
42180.0,29130.0,29980.0,29810.0,490.0,1756.0,5082.0,2,4
88780.0,7277.0,6026.0,49390.0,2919.0,24320.0,7864.0,2,6
43140.0,29890.0,29190.0,22940.0,448.7,1587.0,4788.0,2,1
24890.0,44090.0,21200.0,19520.0,290.8,947.6,3102.0,2,1
19630.0,47330.0,17600.0,17150.0,253.6,785.6,2527.0,2,2
34760.0,29360.0,27020.0,17320.0,460.4,1571.0,4480.0,2,2
19830.0,51930.0,18030.0,32460.0,284.8,951.5,2728.0,2,3
70130.0,12570.0,24950.0,34750.0,1060.0,4630.0,6826.0,2,3
49420.0,28480.0,29820.0,33140.0,516.6,1958.0,5272.0,2,1
47860.0,23070.0,27890.0,22480.0,633.7,2470.0,5513.0,2,3
81800.0,7298.0,6709.0,48570.0,2592.0,19110.0,7797.0,1,6
46220.0,26770.0,27910.0,20210.0,551.6,2019.0,5066.0,2,3
90420.0,7024.0,14740.0,37470.0,1957.0,11120.0,7573.0,2,6
42150.0,30180.0,29080.0,23100.0,442.0,1551.0,4734.0,2,1
16420.0,37820.0,18650.0,31460.0,372.1,1539.0,3333.0,2,3
93940.0,7305.0,6003.0,71070.0,3504.0,30420.0,7787.0,1,6
22400.0,56010.0,16820.0,32530.0,246.5,749.7,2401.0,1,5
10530.0,61430.0,9220.0,21560.0,156.9,452.7,1298.0,1,2
26170.0,50190.0,20270.0,27330.0,278.9,896.2,2943.0,2,1
34620.0,29340.0,26970.0,17070.0,457.9,1563.0,4466.0,2,2
64140.0,16060.0,21140.0,58310.0,1066.0,5548.0,6666.0,1,1
35000.0,30860.0,27660.0,16070.0,342.6,1131.0,4089.0,1,2
10620.0,60810.0,9469.0,21190.0,160.4,458.9,1331.0,1,2
19920.0,49430.0,18500.0,20080.0,241.8,756.5,2599.0,2,4
56270.0,23890.0,26360.0,28510.0,661.2,3006.0,5764.0,2,5
11400.0,59590.0,12370.0,26780.0,212.6,647.7,1808.0,2,2
37150.0,29550.0,28900.0,19780.0,438.3,1482.0,4639.0,2,4
23520.0,63040.0,13930.0,55860.0,197.4,749.2,2070.0,1,1
18220.0,41570.0,14530.0,11480.0,202.1,631.6,2036.0,1,2
15470.0,57120.0,15890.0,27580.0,214.9,647.7,2201.0,2,4
38490.0,40020.0,24440.0,32110.0,426.1,1544.0,4104.0,2,5
16350.0,50810.0,15520.0,18040.0,234.8,701.2,2211.0,2,2
14150.0,63980.0,11880.0,43620.0,162.7,613.7,1723.0,1,1
67530.0,15190.0,23710.0,35660.0,956.8,4851.0,6732.0,2,5
40590.0,30310.0,28710.0,21310.0,429.8,1512.0,4640.0,2,1
37250.0,51540.0,19770.0,33540.0,263.6,874.1,2861.0,1,1
33270.0,30660.0,26870.0,13560.0,327.1,1076.0,3928.0,1,2
80220.0,7178.0,13490.0,37910.0,1967.0,12610.0,7659.0,1,6
43180.0,35220.0,26090.0,24490.0,415.7,1372.0,4147.0,2,1
42370.0,33110.0,29040.0,24120.0,372.1,1200.0,4340.0,1,1
26770.0,50350.0,19720.0,25720.0,265.3,797.5,2781.0,1,5
47580.0,23340.0,28060.0,22380.0,626.1,2419.0,5486.0,2,3
