index,timestamp,TGS826,TGS2611,TGS2603,TGS813,TGS822,TGS2602,TGS823,temperatura,pressao,umidade,c_type,culture_day
0,1623852878.423417,95610.0,7305.0,6020.0,60440.0,3980.0,33280.0,8021.0,60.87,100.11,9.05,4,2
1,1623852879.00279,95610.0,7305.0,6020.0,60360.0,3983.0,33290.0,8017.0,60.85,100.15,8.97,4,2
2,1623852879.5808332,95680.0,7305.0,6026.0,60360.0,3991.0,33320.0,8023.0,60.85,100.15,9.01,4,2
3,1623852880.1655643,95400.0,7305.0,6026.0,60360.0,3989.0,33340.0,8023.0,60.87,100.11,8.86,4,2
4,1623852880.8031433,95830.0,7305.0,6020.0,60360.0,3996.0,33290.0,8023.0,60.85,100.22,9.07,4,2
7,1623852886.1687555,15250.0,18110.0,16210.0,60820.0,841.9,3584.0,4512.0,60.89,73.01,8.01,4,2
8,1623852887.9973435,11420.0,51190.0,16090.0,57260.0,250.0,1077.0,2611.0,61.02,72.86,8.68,4,2
9,1623852888.5775652,11680.0,53410.0,16190.0,56720.0,230.1,971.2,2529.0,61.07,73.09,8.8,4,2
10,1623852889.796851,12280.0,55390.0,16410.0,55990.0,220.7,883.0,2475.0,61.08,73.01,8.74,4,2
11,1623852890.4151373,12590.0,56100.0,16510.0,55790.0,220.1,855.8,2462.0,61.1,73.17,8.75,4,2
12,1623852890.9860137,12820.0,56610.0,16570.0,55660.0,220.1,839.5,2454.0,61.12,73.05,8.9,4,2
13,1623852891.5689027,13000.0,57000.0,16620.0,55270.0,220.7,828.8,2451.0,61.13,73.01,8.79,4,2
14,1623852892.165439,13150.0,57320.0,16650.0,55210.0,222.5,821.4,2448.0,61.15,72.93,8.81,4,2
15,1623852892.7923625,13280.0,57560.0,16680.0,55150.0,223.1,818.2,2448.0,61.15,73.33,8.89,4,2
16,1623852893.434156,13360.0,57760.0,16670.0,55150.0,224.2,816.3,2446.0,61.16,73.29,8.77,4,2
17,1623852893.98335,13440.0,57960.0,16670.0,55080.0,225.4,814.5,2444.0,61.15,73.29,8.81,4,2
18,1623852894.565792,13490.0,58170.0,16670.0,55020.0,226.0,814.0,2443.0,61.16,73.05,8.67,4,2
19,1623852895.1659677,13540.0,58310.0,16670.0,54960.0,226.6,813.6,2442.0,61.15,73.09,8.71,4,2
20,1623852895.7907045,13580.0,58430.0,16660.0,55020.0,226.0,813.1,2442.0,61.15,73.09,8.63,4,2
21,1623852896.4088252,13560.0,58550.0,16640.0,55020.0,227.2,812.7,2437.0,61.12,73.17,8.67,4,2
22,1623852896.979757,13600.0,58670.0,16620.0,54890.0,227.2,811.7,2437.0,61.12,73.05,8.73,4,2
23,1623852898.1662729,13620.0,58810.0,16610.0,55080.0,227.2,811.3,2434.0,61.11,73.01,8.65,4,2
24,1623852898.768888,13650.0,58880.0,16610.0,55020.0,227.2,810.4,2432.0,61.12,73.09,8.8,4,2
25,1623852899.4029112,13660.0,58970.0,16600.0,55080.0,226.6,809.9,2433.0,61.11,73.05,8.84,4,2
26,1623852899.9775395,13620.0,59030.0,16590.0,55270.0,227.2,809.0,2431.0,61.1,73.33,8.77,4,2
27,1623852900.5661333,13670.0,59090.0,16580.0,55020.0,226.6,807.6,2428.0,61.08,73.25,8.71,4,2
28,1623852901.1660967,13670.0,59150.0,16590.0,55150.0,227.2,807.1,2427.0,61.07,73.13,8.68,4,2
29,1623852901.7901251,13650.0,59220.0,16580.0,55080.0,227.7,806.2,2426.0,61.07,73.05,8.75,4,2
30,1623852902.400744,13680.0,59280.0,16580.0,55080.0,227.7,804.4,2422.0,61.06,73.17,8.72,4,2
31,1623852902.9733489,13690.0,59310.0,16580.0,55270.0,227.2,803.5,2424.0,61.03,73.29,8.66,4,2
32,1623852903.565954,13680.0,59350.0,16590.0,55210.0,227.2,802.5,2422.0,61.02,73.25,8.6,4,2
33,1623852904.1656115,13690.0,59400.0,16580.0,55340.0,227.7,801.6,2421.0,61.02,73.21,8.7,4,2
34,1623852904.7780232,13700.0,59460.0,16580.0,55340.0,227.7,800.7,2421.0,60.98,73.36,8.59,4,2
35,1623852905.4014204,13680.0,59490.0,16580.0,55340.0,227.7,798.9,2420.0,60.97,73.17,8.67,4,2
37,1623852907.1656554,14080.0,60040.0,16270.0,53840.0,228.3,790.6,2378.0,61.08,100.15,9.47,4,2
38,1623852908.395016,15660.0,59590.0,16760.0,55080.0,234.2,797.0,2437.0,61.07,100.22,10.55,4,2
39,1623852908.9680626,16390.0,59350.0,17010.0,55660.0,236.5,798.9,2469.0,61.04,100.15,10.93,4,2
40,1623852909.5659397,16940.0,59120.0,17240.0,56120.0,237.1,799.3,2494.0,61.02,100.11,11.1,4,2
41,1623852910.1663036,17340.0,58880.0,17460.0,56320.0,240.1,801.2,2521.0,60.99,100.15,11.24,4,2
42,1623852910.7746756,17650.0,58660.0,17640.0,56520.0,241.2,803.0,2546.0,60.98,100.19,10.93,4,2
43,1623852911.3963904,17850.0,58480.0,17800.0,56580.0,243.0,805.8,2566.0,60.95,100.11,11.1,4,2
44,1623852912.0883682,18010.0,58310.0,17940.0,56520.0,244.2,807.6,2585.0,60.94,100.07,11.0,4,2
45,1623852912.637428,18130.0,58180.0,18070.0,56450.0,245.3,809.9,2602.0,60.92,100.15,10.98,4,2
46,1623852913.1657133,18200.0,58050.0,18180.0,56250.0,245.9,813.1,2618.0,60.93,100.26,11.03,4,2
47,1623852913.7976496,18300.0,57940.0,18270.0,56120.0,247.7,815.0,2631.0,60.89,100.22,11.1,4,2
48,1623852914.4162295,18380.0,57830.0,18360.0,55860.0,248.3,818.2,2644.0,60.89,100.19,10.94,4,2
49,1623852915.0576303,18460.0,57760.0,18440.0,55660.0,249.4,821.4,2656.0,60.89,100.26,10.91,4,2
50,1623852915.6288764,18530.0,57650.0,18520.0,55530.0,250.6,823.3,2668.0,60.88,100.19,10.87,4,2
