timestamp,TGS826,TGS2611,TGS2603,TGS813,TGS822,TGS2602,TGS823,temperatura,pressao,umidade,c_type,culture_day
1623182944.3071873,71410.0,3814.0,12240.0,29510.0,1828.0,13630.0,7564.0,65.14,99.95,11.76,5,1
1623182946.150287,71410.0,3814.0,12240.0,29530.0,1827.0,13630.0,7566.0,65.14,99.87,11.85,5,1
1623182946.7258632,71490.0,3814.0,12230.0,29510.0,1832.0,13630.0,7564.0,65.14,99.95,11.92,5,1
1623182947.305472,71410.0,3814.0,12220.0,29390.0,1829.0,13640.0,7564.0,65.13,99.95,11.83,5,1
1623182949.1460097,71790.0,3814.0,12190.0,29930.0,1845.0,13700.0,7564.0,65.11,84.57,11.84,5,1
1623182950.3049726,18070.0,21750.0,12670.0,28820.0,773.9,4216.0,4293.0,65.11,74.07,9.79,5,1
1623182950.9049077,14680.0,38470.0,13060.0,27770.0,440.8,2122.0,3040.0,65.18,74.26,9.44,5,1
1623182951.5250432,13530.0,45530.0,13160.0,27170.0,311.6,1462.0,2563.0,65.23,73.91,9.23,5,1
1623182952.14319,13150.0,49130.0,13120.0,26900.0,256.5,1169.0,2325.0,65.26,73.99,9.23,5,1
1623182952.7182682,13110.0,51260.0,13050.0,26660.0,230.7,1013.0,2190.0,65.3,74.22,8.84,5,1
1623182953.3053324,13180.0,52720.0,12970.0,26590.0,218.4,916.6,2101.0,65.33,74.3,9.1,5,1
1623182953.9051228,13420.0,53860.0,12890.0,26590.0,211.4,852.5,2040.0,65.34,73.99,8.98,5,1
1623182954.5235293,13580.0,54600.0,12850.0,26660.0,206.7,813.6,2002.0,65.34,74.3,8.85,5,1
1623182955.1422567,13800.0,55190.0,12830.0,26760.0,205.6,786.5,1975.0,65.37,74.07,8.85,5,1
1623182955.7412062,13970.0,55640.0,12830.0,26900.0,205.6,767.3,1959.0,65.37,74.07,8.82,5,1
1623182956.3078897,14110.0,56040.0,12830.0,27030.0,206.2,753.7,1949.0,65.36,74.34,8.88,5,1
1623182956.9048705,14230.0,56340.0,12830.0,27170.0,205.6,742.4,1942.0,65.39,74.18,8.82,5,1
1623182957.5448194,14360.0,56610.0,12870.0,27360.0,206.7,734.8,1938.0,65.39,74.38,8.86,5,1
1623182958.167771,14470.0,56850.0,12890.0,27540.0,206.7,728.0,1935.0,65.37,74.22,8.91,5,1
1623182958.7113106,14580.0,57030.0,12910.0,27700.0,207.9,724.0,1934.0,65.36,74.3,8.73,5,1
1623182959.3050902,14690.0,57210.0,12970.0,27880.0,208.5,720.0,1936.0,65.34,74.3,8.9,5,1
1623182959.9049904,14750.0,57360.0,13000.0,28060.0,209.1,717.7,1937.0,65.34,74.11,8.84,5,1
1623182960.5448434,14840.0,57530.0,13030.0,28250.0,209.6,715.5,1939.0,65.33,74.11,8.95,5,1
1623182961.1348083,14920.0,57650.0,13070.0,28440.0,209.6,712.8,1942.0,65.33,74.14,8.98,5,1
1623182961.7922118,14980.0,57760.0,13100.0,28630.0,210.8,711.0,1944.0,65.27,74.11,8.97,5,1
1623182962.3065846,15030.0,57860.0,13140.0,28820.0,211.4,709.2,1946.0,65.27,73.99,9.05,5,1
1623182962.907433,15130.0,57970.0,13180.0,29010.0,211.4,707.9,1951.0,65.27,73.99,9.05,5,1
1623182963.5184238,15160.0,58080.0,13230.0,29190.0,212.0,707.0,1954.0,65.24,74.03,8.9,5,1
1623182964.1495411,15190.0,58140.0,13270.0,29390.0,212.6,705.7,1958.0,65.23,73.99,9.04,5,1
1623182964.8015466,15230.0,58230.0,13300.0,29550.0,213.1,704.3,1961.0,65.21,74.07,9.13,5,1
1623182965.3733535,15300.0,58290.0,13330.0,29750.0,213.1,704.8,1964.0,65.21,74.26,8.96,5,1
1623182965.9050665,15340.0,58350.0,13380.0,29810.0,214.9,703.4,1968.0,65.18,74.34,9.0,5,1
1623182966.5161033,15390.0,58440.0,13410.0,30100.0,214.9,703.0,1971.0,65.17,74.34,8.9,5,1
1623182967.12809,15450.0,58480.0,13450.0,30290.0,215.5,702.1,1975.0,65.14,74.07,9.02,5,1
1623182967.799838,15490.0,58540.0,13490.0,30460.0,215.5,701.6,1979.0,65.1,73.95,9.17,5,1
1623182968.3719962,15490.0,58580.0,13510.0,30610.0,216.6,701.6,1984.0,65.1,74.18,9.31,5,1
1623182968.9056664,15550.0,58630.0,13560.0,30800.0,216.1,700.8,1986.0,65.05,74.18,8.98,5,1
1623182969.529453,15540.0,58830.0,13330.0,30180.0,216.1,698.1,1957.0,65.11,97.02,9.47,5,1
1623182970.124474,16900.0,58860.0,13630.0,31060.0,220.1,701.2,1995.0,65.18,99.87,10.55,5,1
1623182970.7934113,18030.0,58910.0,14040.0,32320.0,223.7,696.7,2036.0,65.15,99.99,10.94,5,1
1623182971.392337,18660.0,58910.0,14260.0,33000.0,225.4,694.1,2062.0,65.14,100.11,11.23,5,1
1623182971.904922,19410.0,58840.0,14570.0,33700.0,227.2,691.0,2091.0,65.1,99.95,11.25,5,1
1623182972.5135608,19900.0,58750.0,14820.0,34240.0,229.5,689.6,2119.0,65.08,99.91,11.42,5,1
1623182973.1215923,20320.0,58630.0,15050.0,34640.0,230.1,689.2,2141.0,65.07,99.95,11.38,5,1
1623182973.721393,20580.0,58510.0,15220.0,34860.0,231.3,689.6,2164.0,65.05,99.99,11.33,5,1
1623182974.3641293,20730.0,58410.0,15380.0,34970.0,233.0,691.0,2184.0,65.02,99.95,11.18,5,1
1623182974.9055505,20870.0,58290.0,15520.0,35130.0,234.2,692.7,2201.0,65.01,99.99,11.17,5,1
1623182975.5087357,20920.0,58200.0,15660.0,35270.0,234.8,694.5,2217.0,65.01,99.95,11.28,5,1
1623182976.1164684,20990.0,58090.0,15760.0,35210.0,235.9,697.2,2232.0,64.98,99.99,11.23,5,1
1623182976.787369,21050.0,57990.0,15840.0,35190.0,237.1,699.4,2246.0,64.98,99.99,11.16,5,1
1623182977.361477,21090.0,57890.0,15930.0,35130.0,238.3,701.6,2256.0,64.97,99.95,11.07,5,1
1623182977.904972,21160.0,57790.0,16010.0,35080.0,238.3,705.2,2267.0,64.97,99.91,11.21,5,1
1623182978.5085104,21220.0,57710.0,16070.0,34970.0,238.9,707.4,2277.0,64.95,99.91,11.17,5,1
1623182979.1421628,21290.0,57610.0,16140.0,34860.0,239.5,711.0,2288.0,64.94,99.99,11.2,5,1
1623182979.785515,21360.0,57500.0,16200.0,34750.0,240.1,713.7,2298.0,64.95,99.91,11.2,5,1
1623182980.358555,21430.0,57410.0,16240.0,34610.0,240.6,716.8,2306.0,64.94,99.95,11.3,5,1
1623182980.9053142,21510.0,57290.0,16300.0,34480.0,241.2,720.0,2314.0,64.92,99.91,11.22,5,1
1623182981.528301,21560.0,57180.0,16350.0,34320.0,241.2,722.2,2325.0,64.91,99.91,11.18,5,1
1623182982.136618,21650.0,57060.0,16410.0,34160.0,241.2,725.3,2330.0,64.91,99.95,11.26,5,1
1623182982.7803848,21710.0,56970.0,16450.0,33980.0,242.4,728.5,2339.0,64.91,99.95,11.19,5,1
1623182983.35523,21770.0,56850.0,16500.0,33850.0,243.0,731.2,2347.0,64.91,99.95,11.08,5,1
1623182983.9244423,21880.0,56730.0,16530.0,33670.0,243.6,733.9,2356.0,64.89,99.99,11.11,5,1
1623182984.533404,21970.0,56610.0,16590.0,33470.0,244.2,736.6,2364.0,64.88,99.99,11.0,5,1
1623182985.1089342,22060.0,56510.0,16630.0,33270.0,244.2,738.8,2371.0,64.89,99.99,11.14,5,1
1623182985.7789254,22140.0,56390.0,16660.0,33000.0,245.3,741.5,2378.0,64.88,99.91,11.04,5,1
1623182986.3525195,22220.0,56270.0,16720.0,32920.0,245.3,744.7,2385.0,64.88,99.99,10.98,5,1
