index,timestamp,TGS826,TGS2611,TGS2603,TGS813,TGS822,TGS2602,TGS823,temperatura,pressao,umidade,c_type,culture_day
0,1623863220.64425,78650.0,3814.0,12430.0,31460.0,1985.0,13760.0,7650.0,63.4,99.91,9.11,3,2
1,1623863221.2914126,78650.0,3814.0,12440.0,31420.0,1985.0,13760.0,7648.0,63.4,99.87,9.13,3,2
2,1623863221.985387,78700.0,3814.0,12430.0,31440.0,1984.0,13760.0,7648.0,63.42,99.91,9.11,3,2
3,1623863222.5297804,78350.0,3814.0,12430.0,31420.0,1986.0,13760.0,7648.0,63.4,99.95,8.96,3,2
4,1623863223.005746,78650.0,3814.0,12430.0,31420.0,1985.0,13760.0,7650.0,63.42,99.95,9.14,3,2
7,1623863228.5337985,31760.0,3919.0,14770.0,30560.0,1380.0,8189.0,6560.0,63.36,72.74,8.02,3,2
8,1623863228.9854586,21990.0,17470.0,18420.0,29270.0,831.9,3670.0,4947.0,63.43,72.74,8.03,3,2
9,1623863229.637734,19310.0,26520.0,19260.0,28550.0,571.7,2361.0,4109.0,63.47,72.51,8.17,3,2
10,1623863230.1822562,18300.0,33020.0,19450.0,28010.0,424.3,1751.0,3627.0,63.54,72.58,8.25,3,2
11,1623863230.875391,18300.0,35950.0,19580.0,27790.0,371.5,1526.0,3449.0,63.57,72.54,8.28,3,2
12,1623863231.516923,18380.0,37070.0,19660.0,27760.0,353.4,1446.0,3383.0,63.58,72.78,8.21,3,2
13,1623863232.6285372,18930.0,39190.0,19970.0,27670.0,327.7,1312.0,3302.0,63.64,72.58,8.12,3,2
14,1623863233.8591125,19610.0,40300.0,20160.0,27790.0,322.3,1265.0,3283.0,63.65,72.47,8.07,3,2
15,1623863234.452051,19860.0,40730.0,20230.0,27900.0,321.7,1255.0,3281.0,63.68,72.58,8.12,3,2
16,1623863234.9789736,20070.0,41180.0,20260.0,27970.0,322.9,1250.0,3280.0,63.68,72.74,8.06,3,2
17,1623863235.6311617,20280.0,41490.0,20270.0,28050.0,322.3,1249.0,3282.0,63.68,72.78,8.05,3,2
18,1623863236.180722,20380.0,41760.0,20260.0,28160.0,324.1,1251.0,3281.0,63.67,72.82,8.14,3,2
19,1623863236.9352424,20500.0,41990.0,20260.0,28310.0,323.5,1254.0,3282.0,63.68,72.66,7.97,3,2
20,1623863237.625929,20590.0,42160.0,20230.0,28360.0,325.3,1256.0,3282.0,63.67,72.82,8.1,3,2
21,1623863237.9814308,20640.0,42410.0,20210.0,28470.0,325.3,1260.0,3283.0,63.65,72.66,8.06,3,2
22,1623863238.605449,20710.0,42600.0,20170.0,28640.0,325.9,1263.0,3283.0,63.65,72.7,8.21,3,2
23,1623863239.2715497,20760.0,42830.0,20160.0,28800.0,327.1,1266.0,3280.0,63.65,72.62,7.94,3,2
24,1623863239.953839,20840.0,43010.0,20130.0,28890.0,326.5,1268.0,3279.0,63.62,72.7,8.07,3,2
25,1623863241.6417232,20930.0,43420.0,20090.0,29150.0,327.7,1272.0,3279.0,63.6,72.62,8.1,3,2
26,1623863242.1798315,20920.0,43560.0,20070.0,29370.0,327.7,1273.0,3279.0,63.6,72.78,8.14,3,2
27,1623863242.8545794,20930.0,43670.0,20070.0,29470.0,328.3,1274.0,3277.0,63.58,72.7,8.12,3,2
28,1623863243.5073106,20960.0,43810.0,20060.0,29630.0,328.9,1273.0,3277.0,63.57,72.7,8.12,3,2
29,1623863243.9797523,20950.0,43900.0,20050.0,29750.0,328.3,1275.0,3277.0,63.56,72.93,8.15,3,2
30,1623863244.601344,20970.0,44030.0,20060.0,29930.0,327.7,1274.0,3276.0,63.54,72.62,7.88,3,2
31,1623863246.5080929,21050.0,44340.0,20050.0,30220.0,328.9,1272.0,3277.0,63.5,72.66,8.28,3,2
32,1623863246.9797015,20980.0,44380.0,20060.0,30370.0,329.5,1272.0,3277.0,63.47,72.86,8.14,3,2
34,1623863250.619171,24560.0,45130.0,20440.0,32970.0,337.3,1280.0,3332.0,63.56,99.99,10.02,3,2
35,1623863251.251267,25430.0,45040.0,20710.0,33720.0,340.2,1284.0,3367.0,63.51,99.99,10.22,3,2
36,1623863251.8379405,26060.0,44910.0,20940.0,34290.0,343.2,1286.0,3401.0,63.47,99.95,10.09,3,2
37,1623863252.6183193,26540.0,44740.0,21140.0,34640.0,345.6,1290.0,3430.0,63.46,99.99,10.14,3,2
38,1623863252.9795518,26830.0,44610.0,21320.0,34910.0,347.4,1295.0,3457.0,63.45,100.03,10.14,3,2
39,1623863253.5901146,27080.0,44490.0,21480.0,35100.0,349.8,1299.0,3480.0,63.42,99.99,10.12,3,2
40,1623863254.1812887,27250.0,44360.0,21620.0,35210.0,351.0,1302.0,3501.0,63.4,99.83,10.25,3,2
41,1623863254.8374913,27350.0,44260.0,21720.0,35350.0,353.4,1307.0,3522.0,63.38,99.99,10.19,3,2
42,1623863255.5871627,27480.0,44180.0,21830.0,35350.0,355.9,1312.0,3537.0,63.36,99.91,10.2,3,2
43,1623863255.9910471,27590.0,44120.0,21910.0,35380.0,357.1,1317.0,3554.0,63.35,99.99,10.34,3,2
44,1623863256.601019,27670.0,44040.0,21980.0,35330.0,358.3,1322.0,3567.0,63.35,99.95,10.14,3,2
45,1623863257.1807685,27780.0,43950.0,22050.0,35270.0,360.1,1327.0,3581.0,63.32,99.91,10.17,3,2
46,1623863257.9253125,27880.0,43900.0,22120.0,35240.0,361.3,1333.0,3595.0,63.32,99.95,10.07,3,2
47,1623863258.5962155,27980.0,43820.0,22180.0,35190.0,363.1,1337.0,3607.0,63.31,99.95,10.08,3,2
48,1623863259.1383169,28060.0,43760.0,22230.0,35130.0,363.7,1341.0,3619.0,63.31,100.07,10.15,3,2
49,1623863259.6066847,28180.0,43700.0,22290.0,35020.0,364.3,1346.0,3629.0,63.29,99.91,10.01,3,2
50,1623863260.257274,28280.0,43640.0,22340.0,34940.0,364.3,1352.0,3640.0,63.29,99.95,10.01,3,2
51,1623863260.9116414,28410.0,43560.0,22400.0,34830.0,366.1,1356.0,3652.0,63.29,99.95,10.04,3,2
52,1623863261.4820192,28510.0,43480.0,22450.0,34690.0,367.3,1361.0,3661.0,63.28,99.87,9.9,3,2
53,1623863261.9809122,28640.0,43400.0,22480.0,34610.0,368.5,1365.0,3671.0,63.28,99.87,9.95,3,2
54,1623863262.594456,28750.0,43330.0,22530.0,34510.0,369.1,1369.0,3681.0,63.28,99.83,9.96,3,2
55,1623863263.2391298,28870.0,43250.0,22570.0,34430.0,369.7,1372.0,3693.0,63.25,99.87,9.98,3,2
56,1623863263.899484,28990.0,43170.0,22640.0,34270.0,372.7,1377.0,3699.0,63.25,99.79,10.09,3,2
57,1623863264.49814,29130.0,43080.0,22680.0,34190.0,372.7,1381.0,3713.0,63.24,99.95,9.87,3,2
58,1623863264.979691,29230.0,43000.0,22730.0,34060.0,373.9,1384.0,3723.0,63.25,99.83,9.88,3,2
59,1623863265.588935,29360.0,42900.0,22770.0,33930.0,374.5,1389.0,3733.0,63.24,99.91,10.01,3,2
60,1623863266.273806,29480.0,42820.0,22820.0,33830.0,375.7,1394.0,3744.0,63.24,100.03,10.08,3,2
61,1623863266.79692,29610.0,42720.0,22860.0,33750.0,376.9,1397.0,3753.0,63.23,99.99,9.95,3,2
62,1623863267.491782,29730.0,42630.0,22900.0,33620.0,378.1,1401.0,3764.0,63.23,99.95,9.92,3,2
63,1623863267.984439,29860.0,42530.0,22950.0,33470.0,378.8,1405.0,3771.0,63.21,99.91,9.86,3,2
64,1623863268.6137016,29970.0,42460.0,22980.0,33340.0,378.8,1409.0,3781.0,63.23,99.95,9.99,3,2
65,1623863269.2537167,30080.0,42360.0,23030.0,33220.0,380.6,1413.0,3790.0,63.21,99.95,9.93,3,2
66,1623863269.9107115,30190.0,42260.0,23080.0,33140.0,382.4,1417.0,3800.0,63.21,99.99,9.96,3,2
67,1623863270.5968666,30340.0,42160.0,23110.0,33000.0,381.8,1420.0,3809.0,63.2,99.99,9.94,3,2
68,1623863271.131604,30420.0,42060.0,23160.0,32870.0,382.4,1424.0,3816.0,63.2,99.95,9.93,3,2
69,1623863271.5968535,30590.0,41970.0,23200.0,32750.0,384.8,1428.0,3826.0,63.21,99.91,9.95,3,2
70,1623863272.2673264,30720.0,41870.0,23250.0,32630.0,386.0,1431.0,3836.0,63.2,99.91,9.87,3,2
71,1623863272.8758266,30880.0,41760.0,23280.0,32510.0,386.6,1435.0,3844.0,63.21,99.91,9.85,3,2
72,1623863273.489083,30950.0,41670.0,23320.0,32440.0,387.8,1439.0,3853.0,63.19,99.91,9.93,3,2
73,1623863274.1295028,31070.0,41570.0,23350.0,32300.0,388.4,1444.0,3863.0,63.2,99.95,9.88,3,2
74,1623863274.5964286,31180.0,41460.0,23400.0,32180.0,389.6,1447.0,3871.0,63.2,99.83,9.96,3,2
75,1623863275.2295074,31330.0,41380.0,23440.0,32040.0,390.8,1451.0,3879.0,63.19,99.87,9.96,3,2
76,1623863275.815025,31470.0,41270.0,23470.0,31970.0,392.1,1456.0,3889.0,63.19,99.95,9.86,3,2
77,1623863276.561758,31580.0,41170.0,23510.0,31810.0,393.3,1460.0,3898.0,63.19,99.87,9.84,3,2
78,1623863277.218372,31700.0,41060.0,23530.0,31760.0,393.3,1464.0,3908.0,63.17,99.91,9.83,3,2
79,1623863278.230107,31970.0,40840.0,23610.0,31510.0,396.3,1472.0,3927.0,63.17,99.91,9.79,3,2
80,1623863278.8818471,32060.0,40740.0,23660.0,31400.0,397.5,1477.0,3934.0,63.19,99.95,9.87,3,2
81,1623863279.5471673,32200.0,40650.0,23670.0,31350.0,398.1,1481.0,3944.0,63.17,99.99,9.82,3,2
82,1623863280.0475776,32360.0,40540.0,23730.0,31220.0,399.3,1486.0,3952.0,63.17,99.87,9.72,3,2
83,1623863280.5794816,32450.0,40430.0,23760.0,31130.0,400.5,1489.0,3961.0,63.17,99.91,9.81,3,2
84,1623863281.228662,32560.0,40300.0,23800.0,31020.0,402.4,1494.0,3970.0,63.17,100.03,9.88,3,2
85,1623863281.816902,32670.0,40210.0,23830.0,30950.0,403.0,1499.0,3979.0,63.16,99.91,9.76,3,2
86,1623863282.5519085,32800.0,40120.0,23860.0,30820.0,404.2,1503.0,3987.0,63.16,99.87,9.86,3,2
87,1623863283.0542722,32960.0,40010.0,23890.0,30760.0,406.0,1509.0,3994.0,63.16,100.07,9.86,3,2
88,1623863283.5792456,33110.0,39900.0,23920.0,30650.0,407.2,1512.0,4005.0,63.16,99.87,9.86,3,2
89,1623863284.2265134,33180.0,39810.0,23970.0,30560.0,408.4,1517.0,4013.0,63.14,99.87,9.98,3,2
90,1623863284.7923512,33320.0,39690.0,24000.0,30520.0,409.7,1522.0,4023.0,63.16,99.87,9.77,3,2
91,1623863285.5597332,33440.0,39590.0,24030.0,30370.0,411.5,1526.0,4033.0,63.14,99.87,9.75,3,2
92,1623863286.0527458,33570.0,39480.0,24050.0,30330.0,412.7,1531.0,4043.0,63.14,99.99,9.8,3,2
93,1623863286.5986469,33690.0,39370.0,24080.0,30200.0,413.3,1537.0,4051.0,63.16,100.07,9.89,3,2
94,1623863287.2233918,33810.0,39260.0,24120.0,30100.0,414.5,1540.0,4059.0,63.14,99.87,9.81,3,2
95,1623863287.7844822,33970.0,39160.0,24160.0,29990.0,415.1,1546.0,4068.0,63.14,99.91,9.86,3,2
96,1623863288.4669414,34020.0,39060.0,24170.0,29950.0,416.4,1551.0,4077.0,63.16,99.83,9.86,3,2
97,1623863289.1130683,34190.0,38950.0,24210.0,29910.0,418.2,1556.0,4086.0,63.14,99.95,9.83,3,2
98,1623863289.5794492,34330.0,38810.0,24250.0,29790.0,419.4,1562.0,4095.0,63.16,99.99,9.83,3,2
99,1623863290.2159176,34440.0,38740.0,24280.0,29710.0,420.6,1567.0,4105.0,63.13,100.03,9.82,3,2
100,1623863290.8064702,34550.0,38630.0,24300.0,29610.0,421.8,1573.0,4111.0,63.16,99.99,9.85,3,2
101,1623863291.5393853,34700.0,38520.0,24330.0,29590.0,423.7,1578.0,4126.0,63.12,99.99,9.84,3,2
102,1623863292.1030152,34810.0,38410.0,24380.0,29470.0,424.9,1582.0,4131.0,63.14,99.91,9.83,3,2
103,1623863292.5865178,34930.0,38280.0,24410.0,29410.0,424.9,1587.0,4143.0,63.14,99.91,9.7,3,2
104,1623863293.2270465,35050.0,38200.0,24430.0,29250.0,426.7,1595.0,4153.0,63.14,100.03,9.78,3,2
105,1623863293.791049,35180.0,38080.0,24450.0,29250.0,428.5,1600.0,4163.0,63.14,99.99,9.7,3,2
106,1623863294.588282,35300.0,37980.0,24490.0,29170.0,429.8,1605.0,4171.0,63.13,99.87,9.91,3,2
107,1623863295.119909,35450.0,37870.0,24510.0,29130.0,431.6,1612.0,4181.0,63.16,100.03,9.86,3,2
108,1623863295.5789337,35560.0,37780.0,24550.0,29050.0,432.8,1617.0,4191.0,63.14,99.87,9.73,3,2
109,1623863296.214534,35670.0,37670.0,24570.0,28950.0,434.0,1623.0,4200.0,63.13,99.99,9.87,3,2
110,1623863296.8123438,35830.0,37560.0,24590.0,28910.0,435.9,1629.0,4209.0,63.13,99.99,9.69,3,2
111,1623863297.466576,35960.0,37450.0,24620.0,28860.0,435.3,1635.0,4219.0,63.12,99.95,9.73,3,2
112,1623863298.1268065,36030.0,37350.0,24650.0,28800.0,438.9,1641.0,4228.0,63.13,100.03,9.84,3,2
113,1623863298.5792563,36190.0,37240.0,24680.0,28740.0,440.8,1647.0,4238.0,63.13,99.99,9.82,3,2
114,1623863299.225449,36300.0,37130.0,24710.0,28640.0,439.5,1653.0,4247.0,63.16,99.99,9.71,3,2
115,1623863299.877491,36430.0,37030.0,24720.0,28610.0,442.0,1659.0,4257.0,63.13,100.03,9.77,3,2
116,1623863300.5419552,36620.0,36920.0,24760.0,28510.0,443.2,1664.0,4268.0,63.14,99.87,9.67,3,2
117,1623863301.1309266,36720.0,36800.0,24790.0,28470.0,445.7,1671.0,4277.0,63.13,99.99,9.85,3,2
118,1623863301.5799038,36840.0,36710.0,24810.0,28420.0,446.9,1678.0,4286.0,63.14,100.11,9.8,3,2
119,1623863302.2193766,36940.0,36610.0,24840.0,28320.0,447.5,1682.0,4297.0,63.13,99.87,9.73,3,2
120,1623863302.8737657,37040.0,36500.0,24840.0,28250.0,449.3,1690.0,4306.0,63.14,99.91,9.84,3,2
121,1623863303.4657433,37190.0,36390.0,24890.0,28250.0,451.2,1696.0,4315.0,63.12,99.99,9.78,3,2
122,1623863304.1120267,37330.0,36300.0,24910.0,28190.0,453.0,1702.0,4326.0,63.12,99.99,9.77,3,2
123,1623863304.5795016,37530.0,36190.0,24950.0,28100.0,454.3,1709.0,4336.0,63.13,99.87,9.65,3,2
124,1623863305.231656,37540.0,36080.0,24960.0,28050.0,455.5,1717.0,4347.0,63.14,99.99,9.8,3,2
125,1623863305.8779032,37560.0,35970.0,25000.0,28010.0,457.9,1723.0,4356.0,63.12,99.91,9.89,3,2
126,1623863306.5287287,37720.0,35870.0,25010.0,27950.0,457.9,1730.0,4364.0,63.14,99.91,9.68,3,2
127,1623863307.1190004,37950.0,35770.0,25040.0,27860.0,459.8,1736.0,4377.0,63.13,99.87,9.69,3,2
128,1623863307.5818765,38060.0,35630.0,25070.0,27810.0,462.9,1743.0,4385.0,63.14,99.91,9.84,3,2
129,1623863308.210442,38210.0,35570.0,25080.0,27810.0,462.9,1749.0,4397.0,63.13,99.95,9.73,3,2
