timestamp,TGS826,TGS2611,TGS2603,TGS813,TGS822,TGS2602,TGS823,temperatura,pressao,umidade,c_type,culture_day
1623166403.7590592,64000.0,3867.0,14730.0,30520.0,1626.0,10570.0,7396.0,64.3,78.28,11.39,6,1
1623166404.4361749,47020.0,7552.0,15120.0,29590.0,1385.0,8391.0,6720.0,64.32,73.83,10.5,6,1
1623166404.9105945,47820.0,10010.0,16320.0,28700.0,1256.0,6928.0,6371.0,64.37,73.33,9.77,6,1
1623166405.548526,51430.0,12380.0,17930.0,27770.0,1153.0,5783.0,6142.0,64.44,73.52,9.43,6,1
1623166406.139616,55440.0,13440.0,19170.0,27290.0,1111.0,5286.0,6106.0,64.48,73.4,9.28,6,1
1623166406.7471485,58690.0,13610.0,19940.0,27000.0,1106.0,5099.0,6150.0,64.51,73.44,9.14,6,1
1623166407.407323,61420.0,13480.0,20390.0,26950.0,1110.0,5078.0,6224.0,64.55,73.48,9.33,6,1
1623166407.9197018,63480.0,13190.0,20580.0,26900.0,1127.0,5147.0,6305.0,64.57,73.64,8.98,6,1
1623166408.5495086,64910.0,12860.0,20580.0,26910.0,1147.0,5283.0,6388.0,64.59,73.56,8.84,6,1
1623166409.1387186,66030.0,12550.0,20440.0,27090.0,1168.0,5454.0,6463.0,64.58,73.52,8.88,6,1
1623166409.7583346,66810.0,12270.0,20200.0,27160.0,1188.0,5638.0,6526.0,64.61,73.6,9.13,6,1
1623166410.4045296,67560.0,12010.0,19960.0,27260.0,1208.0,5830.0,6584.0,64.59,73.4,8.91,6,1
1623166410.9104674,68060.0,11780.0,19670.0,27400.0,1230.0,6025.0,6635.0,64.59,73.4,9.16,6,1
1623166411.5474136,68530.0,11550.0,19390.0,27580.0,1245.0,6221.0,6682.0,64.59,73.44,9.15,6,1
1623166412.145451,69080.0,11390.0,19130.0,27790.0,1261.0,6399.0,6724.0,64.59,73.44,8.92,6,1
1623166412.756034,69040.0,11230.0,18900.0,27950.0,1275.0,6564.0,6759.0,64.61,73.64,8.85,6,1
1623166413.4015024,69440.0,11110.0,18680.0,28180.0,1290.0,6720.0,6792.0,64.59,73.68,8.98,6,1
1623166413.910887,69920.0,10990.0,18500.0,28360.0,1304.0,6855.0,6815.0,64.59,73.56,8.89,6,1
1623166414.54557,70050.0,10840.0,18340.0,28420.0,1317.0,6976.0,6841.0,64.58,73.64,9.02,6,1
1623166415.1115332,69960.0,10780.0,18200.0,28700.0,1329.0,7083.0,6859.0,64.57,73.44,8.88,6,1
1623166415.7502828,69800.0,10700.0,18080.0,28930.0,1341.0,7178.0,6880.0,64.57,73.36,8.88,6,1
1623166416.39817,70370.0,10620.0,17970.0,29130.0,1353.0,7266.0,6893.0,64.57,73.6,9.09,6,1
1623166416.9122255,70700.0,10510.0,17870.0,29370.0,1361.0,7353.0,6913.0,64.54,73.44,8.89,6,1
1623166417.5418663,70700.0,10440.0,17780.0,29590.0,1369.0,7426.0,6932.0,64.52,73.44,9.03,6,1
1623166418.1352484,70830.0,10370.0,17720.0,29770.0,1380.0,7490.0,6947.0,64.52,73.52,8.88,6,1
1623166418.734347,70990.0,10300.0,17660.0,29990.0,1390.0,7556.0,6958.0,64.49,73.48,8.82,6,1
1623166419.4030983,71120.0,10250.0,17600.0,30180.0,1401.0,7612.0,6975.0,64.49,73.56,9.01,6,1
1623166419.9784455,71120.0,10190.0,17540.0,30390.0,1406.0,7669.0,6985.0,64.47,73.44,9.05,6,1
1623166420.5399475,71410.0,10130.0,17490.0,30580.0,1415.0,7721.0,6994.0,64.47,73.48,8.88,6,1
1623166421.1179638,71830.0,10070.0,17430.0,30800.0,1430.0,7771.0,7006.0,64.44,73.79,8.94,6,1
1623166421.736402,71750.0,10050.0,17400.0,31000.0,1433.0,7804.0,7014.0,64.42,73.72,8.81,6,1
1623166422.4048965,71620.0,9978.0,17380.0,31150.0,1439.0,7851.0,7028.0,64.39,73.72,9.03,6,1
1623166422.9669716,71880.0,9926.0,17330.0,31350.0,1448.0,7896.0,7035.0,64.37,73.48,9.02,6,1
1623166423.529062,71710.0,9874.0,17280.0,31530.0,1455.0,7930.0,7044.0,64.35,73.48,8.88,6,1
1623166424.1230206,72090.0,9830.0,17260.0,31740.0,1463.0,7972.0,7051.0,64.34,73.72,8.93,6,1
1623166424.7461588,72130.0,9778.0,17240.0,31850.0,1470.0,8004.0,7061.0,64.32,73.64,8.9,6,1
1623166426.0684166,71490.0,9726.0,16870.0,32610.0,1472.0,8280.0,7087.0,64.48,99.99,10.55,6,1
1623166426.5342858,72730.0,9587.0,16820.0,33800.0,1487.0,8366.0,7111.0,64.44,100.03,11.17,6,1
1623166427.7264354,73390.0,9337.0,16850.0,35270.0,1511.0,8421.0,7146.0,64.37,100.07,11.21,6,1
1623166428.4063394,73610.0,9220.0,16880.0,35750.0,1520.0,8440.0,7160.0,64.35,99.99,11.43,6,1
1623166429.0525496,73840.0,9075.0,16910.0,36240.0,1529.0,8459.0,7173.0,64.32,99.99,11.27,6,1
1623166429.5227504,74010.0,8965.0,16930.0,36590.0,1539.0,8479.0,7190.0,64.31,99.91,11.41,6,1
1623166430.1206136,74150.0,8849.0,16930.0,36800.0,1546.0,8498.0,7192.0,64.3,100.03,11.37,6,1
1623166430.7322266,74150.0,8748.0,16930.0,36950.0,1550.0,8511.0,7206.0,64.28,99.95,11.16,6,1
1623166431.384722,74370.0,8625.0,16930.0,37100.0,1558.0,8545.0,7220.0,64.27,99.99,11.23,6,1
1623166432.0614986,74510.0,8567.0,16920.0,37230.0,1566.0,8576.0,7217.0,64.25,99.99,11.18,6,1
1623166432.525948,74690.0,8416.0,16910.0,37320.0,1568.0,8600.0,7231.0,64.24,99.99,11.08,6,1
1623166433.132063,74830.0,8344.0,16890.0,37320.0,1571.0,8626.0,7238.0,64.24,99.95,11.09,6,1
1623166433.7198904,74600.0,8251.0,16870.0,37320.0,1574.0,8657.0,7245.0,64.23,99.91,11.13,6,1
1623166434.3892126,75010.0,8229.0,16830.0,37380.0,1577.0,8688.0,7252.0,64.21,99.95,11.39,6,1
1623166435.0493605,75060.0,8107.0,16830.0,37290.0,1580.0,8719.0,7258.0,64.2,99.99,11.13,6,1
1623166435.5273793,74970.0,8086.0,16800.0,37380.0,1582.0,8747.0,7267.0,64.2,99.95,11.06,6,1
1623166436.11353,75240.0,7979.0,16770.0,37320.0,1587.0,8779.0,7275.0,64.2,99.95,11.28,6,1
1623166436.730607,75200.0,7915.0,16740.0,37290.0,1586.0,8812.0,7275.0,64.18,100.03,11.31,6,1
1623166437.376399,75380.0,7851.0,16730.0,37290.0,1586.0,8844.0,7288.0,64.2,99.99,11.1,6,1
1623166438.070257,75330.0,7822.0,16690.0,37190.0,1588.0,8864.0,7288.0,64.17,99.95,11.22,6,1
1623166438.513754,75380.0,7765.0,16660.0,37160.0,1590.0,8900.0,7292.0,64.17,100.03,11.26,6,1
1623166439.1099854,75570.0,7772.0,16640.0,37230.0,1591.0,8932.0,7297.0,64.17,99.99,10.98,6,1
1623166439.720003,75470.0,7694.0,16610.0,37070.0,1592.0,8957.0,7302.0,64.17,99.99,11.33,6,1
1623166440.3822706,75520.0,7637.0,16580.0,36980.0,1591.0,8990.0,7308.0,64.17,100.03,11.25,6,1
1623166441.041635,75610.0,7616.0,16560.0,36920.0,1595.0,9017.0,7315.0,64.15,99.99,10.97,6,1
1623166441.517261,75380.0,7531.0,16530.0,36770.0,1595.0,9047.0,7317.0,64.17,99.99,11.16,6,1
1623166442.1217666,75660.0,7468.0,16520.0,36770.0,1596.0,9071.0,7324.0,64.15,99.99,11.03,6,1
1623166442.7296038,75710.0,7460.0,16480.0,36710.0,1597.0,9101.0,7326.0,64.14,99.95,11.05,6,1
1623166443.371658,75710.0,7432.0,16480.0,36680.0,1594.0,9129.0,7329.0,64.14,100.03,11.07,6,1
1623166444.0526502,75710.0,7390.0,16440.0,36620.0,1599.0,9148.0,7333.0,64.14,99.99,11.24,6,1
1623166444.5143087,75850.0,7383.0,16420.0,36530.0,1599.0,9174.0,7336.0,64.13,99.99,11.02,6,1
1623166445.1099966,75890.0,7347.0,16400.0,36440.0,1600.0,9197.0,7344.0,64.14,99.99,10.97,6,1
1623166445.7121902,75850.0,7333.0,16370.0,36210.0,1601.0,9219.0,7345.0,64.14,100.03,11.01,6,1
1623166446.3651445,75850.0,7305.0,16350.0,36330.0,1601.0,9249.0,7342.0,64.13,100.03,11.14,6,1
1623166447.0366752,75990.0,7298.0,16330.0,36210.0,1602.0,9276.0,7351.0,64.13,99.99,11.24,6,1
1623166447.512571,75990.0,7277.0,16310.0,36180.0,1603.0,9295.0,7354.0,64.13,100.03,10.99,6,1
1623166448.1100144,75990.0,7270.0,16300.0,36120.0,1605.0,9316.0,7360.0,64.14,100.03,11.05,6,1
1623166448.7382183,75850.0,7249.0,16270.0,36090.0,1607.0,9338.0,7360.0,64.11,99.99,11.28,6,1
1623166449.37478,76030.0,7242.0,16260.0,36010.0,1605.0,9357.0,7363.0,64.13,100.03,11.24,6,1
1623166450.0328712,76170.0,7235.0,16230.0,35980.0,1605.0,9374.0,7369.0,64.11,100.03,11.16,6,1
1623166450.5106745,75990.0,7214.0,16230.0,35860.0,1606.0,9399.0,7372.0,64.13,100.03,11.27,6,1
1623166451.110749,76360.0,7214.0,16210.0,35830.0,1609.0,9416.0,7374.0,64.11,99.99,11.08,6,1
1623166451.727742,76080.0,7200.0,16180.0,35750.0,1608.0,9435.0,7376.0,64.11,100.03,10.98,6,1
1623166452.3709989,76130.0,7193.0,16170.0,35690.0,1609.0,9455.0,7378.0,64.11,99.95,11.2,6,1
1623166453.029421,76080.0,7193.0,16140.0,35630.0,1610.0,9469.0,7380.0,64.11,99.99,11.01,6,1
1623166453.5108676,76030.0,7171.0,16140.0,35610.0,1609.0,9487.0,7383.0,64.11,100.03,10.88,6,1
1623166454.1114335,76220.0,7164.0,16120.0,35520.0,1614.0,9511.0,7381.0,64.11,99.95,11.18,6,1
1623166454.742249,76170.0,7157.0,16100.0,35470.0,1613.0,9529.0,7389.0,64.11,99.99,10.96,6,1
1623166455.3539774,76170.0,7143.0,16090.0,35440.0,1611.0,9548.0,7394.0,64.1,99.99,11.26,6,1
1623166456.0301435,76270.0,7115.0,16060.0,35410.0,1614.0,9566.0,7394.0,64.1,99.99,11.21,6,1
1623166456.510912,76170.0,7087.0,16060.0,35330.0,1614.0,9581.0,7398.0,64.11,99.95,10.97,6,1
1623166457.1666727,76550.0,7066.0,16050.0,35270.0,1616.0,9593.0,7399.0,64.1,100.03,11.23,6,1
1623166457.7411065,76270.0,7059.0,16020.0,35190.0,1615.0,9623.0,7401.0,64.11,99.99,11.07,6,1
1623166458.3570485,76600.0,7052.0,16010.0,35160.0,1617.0,9636.0,7403.0,64.1,99.91,11.01,6,1
1623166459.0336988,75800.0,7052.0,15990.0,35130.0,1618.0,9656.0,7405.0,64.1,100.03,11.32,6,1
1623166459.509941,76220.0,7052.0,15970.0,35080.0,1618.0,9668.0,7409.0,64.1,99.95,11.26,6,1
1623166460.1103356,76460.0,7045.0,15960.0,35020.0,1621.0,9686.0,7410.0,64.1,99.99,11.11,6,1
1623166460.710317,76320.0,7045.0,15950.0,34940.0,1622.0,9698.0,7412.0,64.1,99.95,10.97,6,1
1623166461.3560834,76410.0,7038.0,15940.0,34910.0,1620.0,9711.0,7416.0,64.11,100.03,11.11,6,1
1623166462.0312843,76410.0,7031.0,15920.0,34880.0,1626.0,9729.0,7416.0,64.11,99.95,11.24,6,1
1623166462.5104425,76460.0,7024.0,15910.0,34860.0,1623.0,9744.0,7419.0,64.1,100.03,11.04,6,1
1623166463.1502633,76360.0,7017.0,15890.0,34800.0,1624.0,9762.0,7419.0,64.08,99.95,11.14,6,1
1623166463.76152,76410.0,7017.0,15860.0,34750.0,1623.0,9777.0,7419.0,64.1,99.95,11.03,6,1
1623166464.351,76600.0,7017.0,15860.0,34690.0,1626.0,9782.0,7425.0,64.11,99.95,11.03,6,1
