timestamp,TGS826,TGS2611,TGS2603,TGS813,TGS822,TGS2602,TGS823,temperatura,pressao,umidade,c_type,culture_day
1623259638.703267,82610.0,7129.0,6803.0,38300.0,2409.0,19080.0,7795.0,56.38,99.91,14.34,6,2
1623259642.8597426,82340.0,7108.0,7069.0,38260.0,2428.0,18600.0,7784.0,56.36,74.3,13.21,6,2
1623259643.4641638,81110.0,7031.0,7254.0,36800.0,2420.0,18160.0,7772.0,56.41,73.64,12.77,6,2
1623259644.0909936,80640.0,5381.0,7301.0,35800.0,2428.0,18070.0,7768.0,56.47,74.07,12.62,6,2
1623259644.6640575,80690.0,3814.0,7266.0,35300.0,2433.0,18150.0,7765.0,56.51,73.75,12.73,6,2
1623259645.2615285,80950.0,3814.0,7135.0,34990.0,2450.0,18450.0,7772.0,56.52,73.68,12.65,6,2
1623259645.859981,81640.0,3814.0,6868.0,34780.0,2480.0,18900.0,7776.0,56.56,73.75,12.58,6,2
1623259646.4711852,82500.0,3814.0,6680.0,34670.0,2500.0,19410.0,7784.0,56.59,73.75,12.56,6,2
1623259647.0898492,82340.0,3814.0,6492.0,34640.0,2525.0,19960.0,7791.0,56.6,73.99,12.68,6,2
1623259647.6787958,82890.0,3814.0,6375.0,34670.0,2555.0,20520.0,7797.0,56.62,73.83,12.5,6,2
1623259648.2605212,83160.0,3814.0,6293.0,34640.0,2583.0,21020.0,7803.0,56.64,73.83,12.52,6,2
1623259648.8600812,83380.0,3814.0,6119.0,34780.0,2596.0,21550.0,7808.0,56.66,73.91,12.43,6,2
1623259649.468537,83720.0,3814.0,6096.0,34940.0,2634.0,22000.0,7812.0,56.64,73.79,12.49,6,2
1623259650.0855143,83770.0,3814.0,6072.0,35080.0,2652.0,22380.0,7816.0,56.65,73.68,12.56,6,2
1623259650.753754,84110.0,3814.0,6072.0,35190.0,2676.0,22780.0,7822.0,56.64,73.95,12.5,6,2
1623259651.3251593,84050.0,3814.0,6067.0,35380.0,2704.0,23130.0,7827.0,56.64,73.79,12.46,6,2
1623259651.859868,84450.0,4198.0,6049.0,35610.0,2715.0,23430.0,7829.0,56.62,73.83,12.41,6,2
1623259652.4747622,84670.0,4005.0,6049.0,35780.0,2736.0,23660.0,7833.0,56.62,73.95,12.43,6,2
1623259653.0890355,84850.0,5578.0,6049.0,35920.0,2753.0,23860.0,7835.0,56.61,73.99,12.41,6,2
1623259653.7526114,84960.0,6189.0,6049.0,36090.0,2770.0,23990.0,7827.0,56.59,73.87,12.37,6,2
1623259654.3256369,84960.0,7017.0,6038.0,36330.0,2790.0,24160.0,7833.0,56.58,73.79,12.39,6,2
1623259654.8611064,85080.0,7017.0,6038.0,36560.0,2809.0,24310.0,7849.0,56.57,73.83,12.41,6,2
1623259655.4712234,85190.0,7031.0,6032.0,36710.0,2822.0,24380.0,7847.0,56.55,74.07,12.34,6,2
1623259656.0793035,84330.0,7038.0,6020.0,36890.0,2836.0,24500.0,7849.0,56.52,73.75,12.36,6,2
1623259656.6777034,85540.0,7038.0,6026.0,37070.0,2851.0,24500.0,7854.0,56.51,73.75,12.38,6,2
1623259657.3210366,85420.0,7052.0,6026.0,37230.0,2866.0,24670.0,7850.0,56.5,73.83,12.33,6,2
1623259657.8610866,85710.0,7052.0,6026.0,37570.0,2881.0,24770.0,7854.0,56.48,73.91,12.39,6,2
1623259658.4655735,86000.0,7052.0,6026.0,37660.0,2893.0,24810.0,7856.0,56.47,73.72,12.37,6,2
1623259659.1024237,85650.0,7059.0,6026.0,37850.0,2906.0,24920.0,7856.0,56.46,73.83,12.32,6,2
1623259659.7436173,86000.0,7094.0,6026.0,37980.0,2919.0,24910.0,7858.0,56.43,73.91,12.31,6,2
1623259660.3168223,86000.0,7115.0,6026.0,38230.0,2930.0,24980.0,7858.0,56.41,73.99,12.4,6,2
1623259660.860044,86060.0,7136.0,6026.0,38390.0,2945.0,25040.0,7860.0,56.39,73.99,12.31,6,2
