timestamp,TGS826,TGS2611,TGS2603,TGS813,TGS822,TGS2602,TGS823,temperatura,pressao,umidade,c_type,culture_day
1623178601.52098,81430.0,7185.0,6498.0,38890.0,2266.0,19880.0,7738.0,59.59,99.99,13.68,1,1
1623178605.7790687,12630.0,41350.0,13870.0,37980.0,342.0,1791.0,2909.0,59.58,74.57,11.43,1,1
1623178606.3552053,11320.0,49600.0,13490.0,37320.0,242.4,1252.0,2438.0,59.62,74.61,11.19,1,1
1623178606.8998115,10620.0,55110.0,12950.0,36590.0,187.6,934.7,2113.0,59.65,74.34,10.99,1,1
1623178607.5196085,10470.0,57990.0,12470.0,36150.0,165.6,788.8,1937.0,59.68,74.38,10.83,1,1
1623178608.1094573,10530.0,59840.0,12090.0,35800.0,156.3,705.7,1825.0,59.71,74.46,10.9,1,1
1623178608.7784522,10700.0,60920.0,11800.0,35630.0,153.5,658.7,1755.0,59.74,74.3,10.84,1,1
1623178609.3530517,10830.0,61700.0,11610.0,35440.0,152.3,628.5,1707.0,59.76,74.54,10.8,1,1
1623178609.8999748,11000.0,62240.0,11460.0,35470.0,153.5,609.4,1674.0,59.78,74.65,10.78,1,1
1623178610.5007858,11140.0,62620.0,11360.0,35440.0,155.2,596.9,1652.0,59.79,74.61,10.96,1,1
1623178611.1094637,11280.0,62940.0,11280.0,35470.0,155.8,587.8,1637.0,59.8,74.38,10.92,1,1
1623178611.707509,11390.0,63150.0,11220.0,35490.0,157.5,582.7,1626.0,59.81,74.34,10.8,1,1
1623178612.3500347,11490.0,63350.0,11200.0,35550.0,159.8,578.8,1619.0,59.82,74.38,10.8,1,1
1623178612.9002652,11600.0,63510.0,11170.0,35610.0,160.4,577.1,1614.0,59.81,74.54,10.81,1,1
1623178613.5023923,11660.0,63670.0,11160.0,35690.0,162.1,575.8,1612.0,59.84,74.34,10.97,1,1
1623178614.1468415,11770.0,63800.0,11140.0,35800.0,163.3,575.4,1611.0,59.84,74.46,10.97,1,1
1623178614.7747023,11830.0,63930.0,11120.0,35890.0,164.4,575.4,1609.0,59.84,74.46,11.0,1,1
1623178615.3470137,11890.0,64050.0,11140.0,35980.0,165.0,575.4,1609.0,59.81,74.26,11.1,1,1
1623178615.8998888,11960.0,64130.0,11140.0,36010.0,166.1,575.8,1610.0,59.82,74.3,10.96,1,1
1623178616.535532,12010.0,64200.0,11150.0,36180.0,166.7,576.7,1612.0,59.84,74.5,10.99,1,1
1623178617.1051905,12080.0,64280.0,11160.0,36270.0,167.9,577.1,1614.0,59.82,74.3,11.04,1,1
1623178617.7722158,12150.0,64330.0,11170.0,36380.0,169.0,577.5,1614.0,59.82,74.38,11.02,1,1
1623178618.3438528,12190.0,64400.0,11180.0,36470.0,169.6,578.0,1617.0,59.81,74.22,11.05,1,1
