timestamp,TGS826,TGS2611,TGS2603,TGS813,TGS822,TGS2602,TGS823,temperatura,pressao,umidade,c_type,culture_day
1623271330.0257106,75240.0,7221.0,6026.0,40440.0,3368.0,31070.0,7868.0,65.46,99.91,12.65,1,2
1623271334.2413306,19430.0,7228.0,11440.0,40580.0,1282.0,7773.0,5654.0,65.43,73.79,10.85,1,2
1623271334.8947556,13860.0,30590.0,13980.0,39360.0,516.6,2437.0,3391.0,65.47,73.68,9.82,1,2
1623271335.5582128,12510.0,41630.0,13890.0,38720.0,348.6,1666.0,2818.0,65.5,73.72,9.72,1,2
1623271336.0185256,11930.0,48970.0,13740.0,38070.0,255.3,1224.0,2446.0,65.55,73.72,9.33,1,2
1623271336.68515,12100.0,52420.0,13800.0,37690.0,219.6,1019.0,2284.0,65.59,73.6,9.06,1,2
1623271337.22841,12610.0,54150.0,13960.0,37440.0,206.2,915.1,2217.0,65.61,73.64,9.02,1,2
1623271337.8842952,13220.0,55130.0,14140.0,37320.0,202.1,858.1,2191.0,65.64,73.72,8.82,1,2
1623271338.555326,13770.0,55700.0,14310.0,37350.0,202.1,824.7,2179.0,65.65,73.48,8.85,1,2
1623271339.015387,14310.0,56040.0,14420.0,37350.0,205.0,806.7,2180.0,65.67,73.75,8.77,1,2
1623271339.6152072,14680.0,56280.0,14540.0,37320.0,206.7,798.4,2184.0,65.68,73.52,8.76,1,2
1623271340.2164357,15030.0,56430.0,14630.0,37500.0,210.2,795.6,2192.0,65.7,73.68,8.75,1,2
1623271340.8802118,15330.0,56550.0,14700.0,37600.0,213.7,796.6,2200.0,65.7,73.56,8.81,1,2
1623271341.5569682,15520.0,56660.0,14750.0,37750.0,217.2,800.2,2209.0,65.71,73.75,8.57,1,2
1623271342.0070093,15720.0,56730.0,14790.0,37910.0,220.1,804.4,2217.0,65.72,73.48,8.74,1,2
1623271342.606074,15870.0,56840.0,14810.0,38100.0,220.1,809.4,2225.0,65.7,73.52,8.73,1,2
1623271343.2182364,15960.0,56930.0,14820.0,38230.0,223.7,815.4,2230.0,65.7,73.68,8.57,1,2
1623271343.8787596,16040.0,57020.0,14820.0,38330.0,224.8,819.6,2234.0,65.71,73.48,8.64,1,2
1623271344.543003,16120.0,57080.0,14830.0,38620.0,226.0,824.7,2239.0,65.68,73.52,8.6,1,2
1623271345.0273235,16200.0,57140.0,14820.0,38720.0,228.3,828.4,2243.0,65.68,73.72,8.55,1,2
