timestamp,TGS826,TGS2611,TGS2603,TGS813,TGS822,TGS2602,TGS823,temperatura,pressao,umidade,c_type,culture_day
1623188412.1171591,74740.0,3814.0,6533.0,34270.0,2338.0,19640.0,7742.0,64.72,99.99,11.95,5,1
1623188412.7716515,74560.0,3814.0,6539.0,34350.0,2338.0,19650.0,7740.0,64.72,99.99,12.03,5,1
1623188413.4095194,74510.0,3814.0,6533.0,34080.0,2339.0,19660.0,7744.0,64.74,99.99,11.89,5,1
1623188414.534989,18490.0,14980.0,12230.0,33720.0,916.8,5274.0,4755.0,64.71,74.46,9.97,5,1
1623188415.7442634,13110.0,43050.0,13330.0,31970.0,336.1,1663.0,2739.0,64.78,74.22,9.14,5,1
1623188416.4046288,12360.0,48810.0,13140.0,31460.0,251.8,1236.0,2383.0,64.87,74.54,8.96,5,1
1623188417.073468,12100.0,52100.0,12930.0,30950.0,214.9,1019.0,2181.0,64.88,74.03,8.9,5,1
1623188417.535246,12130.0,54100.0,12760.0,30970.0,199.8,904.2,2065.0,64.91,73.99,9.04,5,1
1623188418.1920192,12250.0,55510.0,12600.0,30930.0,190.5,831.1,1986.0,64.95,74.03,8.9,5,1
1623188418.7452643,12400.0,56510.0,12470.0,30970.0,187.6,784.7,1932.0,64.92,74.07,8.83,5,1
1623188419.4013157,12560.0,57290.0,12380.0,31130.0,187.0,753.7,1897.0,64.94,74.46,8.91,5,1
1623188420.0718844,12720.0,57910.0,12320.0,31170.0,185.8,730.3,1872.0,64.95,74.54,8.94,5,1
1623188420.5493135,12870.0,58350.0,12280.0,31310.0,185.8,714.6,1854.0,64.97,74.57,8.8,5,1
1623188421.130434,13010.0,58740.0,12280.0,31330.0,185.2,703.4,1843.0,65.01,74.5,8.85,5,1
1623188421.7445471,13150.0,59040.0,12270.0,31530.0,188.1,694.5,1835.0,64.95,74.11,8.98,5,1
1623188422.4000034,13240.0,59310.0,12290.0,31710.0,187.6,690.5,1834.0,64.97,74.26,8.94,5,1
1623188422.921783,13340.0,59560.0,12320.0,31810.0,188.7,684.3,1832.0,64.92,74.11,8.99,5,1
1623188423.518114,13400.0,59700.0,12330.0,32180.0,191.6,683.0,1833.0,64.91,74.54,8.91,5,1
1623188424.123737,13510.0,59870.0,12360.0,32180.0,191.0,681.2,1833.0,64.97,74.18,9.1,5,1
1623188424.7385862,13620.0,59990.0,12400.0,32370.0,192.8,678.1,1836.0,64.89,74.07,9.07,5,1
1623188425.4085784,13670.0,60120.0,12430.0,32560.0,193.4,677.7,1839.0,64.89,74.26,9.16,5,1
1623188426.0710986,13720.0,60210.0,12460.0,32750.0,194.5,678.6,1842.0,64.92,74.38,9.07,5,1
1623188426.5255191,13800.0,60320.0,12510.0,32820.0,195.1,675.9,1845.0,64.88,73.99,9.19,5,1
1623188427.133171,13880.0,60400.0,12550.0,33090.0,195.7,675.9,1851.0,64.87,74.07,8.97,5,1
1623188427.7346013,13950.0,60460.0,12570.0,33320.0,197.4,676.8,1855.0,64.87,74.26,8.99,5,1
1623188428.4132242,13980.0,60570.0,12630.0,33520.0,198.0,677.2,1860.0,64.85,74.26,9.27,5,1
1623188428.9771044,14060.0,60590.0,12650.0,33700.0,199.2,677.2,1865.0,64.82,74.5,9.2,5,1
1623188429.520038,14110.0,60640.0,12690.0,33900.0,200.3,675.9,1869.0,64.78,74.22,9.22,5,1
1623188430.1672,14140.0,60700.0,12730.0,34030.0,200.3,675.5,1872.0,64.78,74.38,9.18,5,1
