timestamp,TGS826,TGS2611,TGS2603,TGS813,TGS822,TGS2602,TGS823,temperatura,pressao,umidade,c_type,culture_day
1623169518.8144958,77710.0,7193.0,6404.0,38360.0,2498.0,20150.0,7755.0,65.05,99.95,11.92,6,1
1623169519.4633234,77810.0,7193.0,6387.0,38360.0,2498.0,20150.0,7757.0,65.04,99.79,11.79,6,1
1623169520.0411754,77860.0,7193.0,6404.0,38390.0,2500.0,20160.0,7755.0,65.05,99.91,11.94,6,1
1623169522.3630695,78450.0,7207.0,6428.0,39320.0,2529.0,20100.0,7757.0,64.98,78.05,11.31,6,1
1623169523.667391,74280.0,7101.0,7607.0,37160.0,2420.0,17300.0,7661.0,65.07,73.68,9.57,6,1
1623169524.7999148,73790.0,7031.0,8897.0,35890.0,2321.0,15180.0,7577.0,65.15,73.99,9.18,6,1
1623169525.354389,74240.0,7017.0,9388.0,35550.0,2287.0,14490.0,7549.0,65.2,73.72,9.11,6,1
1623169526.0273228,74650.0,6807.0,9840.0,35440.0,2266.0,14070.0,7524.0,65.23,73.87,9.05,6,1
1623169526.514424,75100.0,7010.0,11880.0,35410.0,2253.0,13800.0,7511.0,65.24,74.07,9.12,6,1
1623169527.1214056,75470.0,7010.0,11940.0,35410.0,2250.0,13710.0,7491.0,65.26,73.87,9.11,6,1
1623169527.7908697,75470.0,7017.0,11930.0,35410.0,2247.0,13680.0,7491.0,65.29,73.95,8.94,6,1
1623169528.3413005,76030.0,7017.0,11890.0,35630.0,2247.0,13730.0,7491.0,65.27,73.91,8.98,6,1
1623169528.99445,76080.0,7024.0,11830.0,35690.0,2247.0,13800.0,7491.0,65.3,73.79,9.13,6,1
1623169529.695333,76360.0,7031.0,9840.0,35860.0,2248.0,13890.0,7491.0,65.29,73.75,8.99,6,1
1623169530.120605,76890.0,7038.0,9758.0,36010.0,2251.0,14010.0,7494.0,65.3,74.11,9.05,6,1
1623169530.784766,76460.0,7045.0,9657.0,36210.0,2260.0,14130.0,7496.0,65.29,73.83,9.16,6,1
1623169531.3573468,76740.0,7052.0,9563.0,36380.0,2264.0,14260.0,7496.0,65.29,73.79,9.0,6,1
1623169532.0145211,76650.0,7052.0,9482.0,36530.0,2266.0,14360.0,7500.0,65.27,74.07,9.06,6,1
1623169532.6637237,76980.0,7052.0,9394.0,36740.0,2272.0,14470.0,7503.0,65.24,73.75,9.2,6,1
1623169533.1178052,76940.0,7073.0,9319.0,36950.0,2274.0,14590.0,7505.0,65.24,73.83,9.1,6,1
1623169533.7644925,77130.0,7115.0,9238.0,37100.0,2284.0,14700.0,7507.0,65.24,74.03,9.19,6,1
1623169534.337145,77080.0,7136.0,9164.0,37320.0,2286.0,14790.0,7509.0,65.23,73.87,9.19,6,1
1623169535.0423858,77080.0,7164.0,9102.0,37530.0,2294.0,14880.0,7513.0,65.21,74.14,9.27,6,1
1623169535.6692977,77220.0,7171.0,9065.0,37750.0,2293.0,14960.0,7520.0,65.2,73.95,9.16,6,1
1623169536.126004,77130.0,7178.0,8990.0,37980.0,2303.0,15050.0,7518.0,65.18,73.99,9.3,6,1
1623169536.790387,77220.0,7185.0,8935.0,38230.0,2307.0,15120.0,7524.0,65.17,73.91,9.18,6,1
1623169537.4288845,77420.0,7193.0,8897.0,38360.0,2308.0,15220.0,7525.0,65.15,73.83,9.24,6,1
1623169537.9968646,77470.0,7193.0,8842.0,38560.0,2319.0,15270.0,7527.0,65.11,73.83,9.21,6,1
1623169538.655675,77560.0,7193.0,8793.0,38720.0,2323.0,15340.0,7531.0,65.1,73.87,9.2,6,1
1623169539.116863,77560.0,7193.0,8749.0,38950.0,2326.0,15390.0,7533.0,65.1,73.99,9.37,6,1
1623169539.7671957,77470.0,7200.0,8713.0,39090.0,2329.0,15470.0,7535.0,65.05,74.07,9.39,6,1
1623169540.3619466,78000.0,7207.0,8663.0,39290.0,2333.0,15510.0,7538.0,65.04,73.95,9.31,6,1
1623169541.101436,77610.0,7214.0,8645.0,39490.0,2342.0,15570.0,7535.0,65.02,73.87,9.41,6,1
1623169541.652504,77710.0,7214.0,8596.0,39700.0,2349.0,15640.0,7542.0,65.01,73.91,9.36,6,1
1623169542.7556405,77760.0,7221.0,8547.0,39980.0,2356.0,15720.0,7551.0,64.95,73.95,9.3,6,1
1623169543.3520246,77960.0,7221.0,8510.0,40150.0,2362.0,15750.0,7555.0,64.94,74.03,9.28,6,1
1623169544.6416528,76320.0,7221.0,8156.0,40190.0,2341.0,16300.0,7557.0,65.1,99.95,10.93,6,1
1623169545.7748706,77370.0,7249.0,7932.0,42070.0,2365.0,16700.0,7579.0,65.02,99.95,11.63,6,1
1623169546.3202102,78000.0,7270.0,7871.0,42930.0,2377.0,16810.0,7588.0,65.0,99.95,11.67,6,1
1623169546.981281,78150.0,7277.0,7835.0,43580.0,2391.0,16870.0,7598.0,64.97,99.91,11.79,6,1
1623169547.6550462,78100.0,7277.0,7805.0,43990.0,2410.0,16930.0,7607.0,64.95,99.95,11.67,6,1
1623169548.132867,78350.0,7277.0,7781.0,44370.0,2411.0,16970.0,7616.0,64.91,99.95,11.76,6,1
1623169548.8070705,78200.0,7277.0,7751.0,44630.0,2423.0,17020.0,7622.0,64.91,99.83,11.55,6,1
1623169549.3136754,78500.0,7277.0,7721.0,44760.0,2432.0,17080.0,7622.0,64.88,99.87,11.75,6,1
1623169549.9663546,78700.0,7277.0,7709.0,44930.0,2436.0,17120.0,7633.0,64.88,99.91,11.58,6,1
