timestamp,TGS826,TGS2611,TGS2603,TGS813,TGS822,TGS2602,TGS823,temperatura,pressao,umidade,c_type,culture_day
1623872271.8003595,85080.0,7024.0,11030.0,36150.0,2261.0,15360.0,7797.0,62.56,100.03,8.6,2,2
1623872272.404784,85080.0,7024.0,10100.0,36030.0,2258.0,15350.0,7805.0,62.55,100.03,8.54,2,2
1623872273.0119834,85020.0,7024.0,9726.0,36060.0,2258.0,15360.0,7805.0,62.56,99.99,8.43,2,2
1623872273.6821854,85080.0,7017.0,9357.0,36030.0,2259.0,15370.0,7806.0,62.56,99.99,8.53,2,2
1623872274.255917,85080.0,7024.0,8996.0,36120.0,2259.0,15380.0,7806.0,62.56,99.91,8.6,2,2
1623872279.698383,26020.0,5381.0,12670.0,35520.0,1504.0,9511.0,6539.0,62.52,72.78,7.83,2,2
1623872280.2459977,17160.0,16960.0,14620.0,34400.0,921.6,4316.0,4688.0,62.6,72.58,7.7,2,2
1623872280.8002205,13020.0,33290.0,14620.0,33340.0,524.1,2226.0,3335.0,62.62,72.74,8.15,2,2
1623872281.4003992,11390.0,42350.0,14080.0,32610.0,360.7,1545.0,2746.0,62.7,72.86,8.3,2,2
1623872282.0273535,10870.0,47080.0,13790.0,32200.0,292.0,1253.0,2476.0,62.71,72.86,8.38,2,2
1623872282.6682558,10720.0,49770.0,13700.0,31900.0,260.6,1101.0,2340.0,62.75,72.58,8.37,2,2
1623872283.2424889,10740.0,51480.0,13650.0,31810.0,244.7,1014.0,2260.0,62.78,72.7,8.48,2,2
1623872283.8003786,10820.0,52740.0,13600.0,31740.0,237.1,955.3,2208.0,62.79,72.78,8.35,2,2
1623872284.4109817,10910.0,53770.0,13570.0,31650.0,231.3,915.6,2170.0,62.82,72.66,8.51,2,2
1623872285.0023136,10990.0,54510.0,13530.0,31650.0,228.9,889.1,2143.0,62.83,72.54,8.43,2,2
1623872285.6674712,11100.0,55100.0,13480.0,31710.0,228.3,872.2,2125.0,62.85,72.9,8.51,2,2
