timestamp,TGS826,TGS2611,TGS2603,TGS813,TGS822,TGS2602,TGS823,temperatura,pressao,umidade,c_type,culture_day
1623163659.8014925,75010.0,3814.0,12850.0,32800.0,1855.0,12770.0,7531.0,63.42,100.15,13.03,5,1
1623163663.4705193,65310.0,3814.0,12780.0,33650.0,1830.0,12780.0,7511.0,63.35,78.83,12.59,5,1
1623163664.5192597,18480.0,28800.0,12960.0,31920.0,563.5,3123.0,3696.0,63.42,74.26,10.69,5,1
1623163665.127137,15540.0,43470.0,12650.0,31020.0,318.1,1766.0,2728.0,63.47,73.99,10.26,5,1
1623163665.7958088,14890.0,49280.0,12410.0,30480.0,237.1,1317.0,2356.0,63.5,74.26,10.01,5,1
1623163666.397106,15080.0,52160.0,12270.0,30160.0,205.0,1106.0,2172.0,63.54,74.11,9.67,5,1
1623163666.9059317,15680.0,53810.0,12190.0,29990.0,191.6,994.0,2073.0,63.56,74.03,9.83,5,1
1623163667.512753,16320.0,54850.0,12170.0,29990.0,187.6,927.0,2018.0,63.58,74.07,9.64,5,1
1623163668.123874,16970.0,55550.0,12200.0,29970.0,184.7,885.8,1986.0,63.6,73.99,9.79,5,1
1623163668.79808,17590.0,56030.0,12250.0,30120.0,187.6,861.4,1973.0,63.61,74.38,9.53,5,1
1623163669.4608245,18090.0,56400.0,12330.0,30180.0,189.3,844.6,1967.0,63.61,74.03,9.62,5,1
1623163669.9311492,18600.0,56640.0,12430.0,30370.0,192.2,835.8,1972.0,63.62,74.34,9.73,5,1
1623163670.5137928,19020.0,56840.0,12540.0,30520.0,193.9,830.2,1980.0,63.61,74.03,9.69,5,1
1623163671.1217806,19360.0,56970.0,12610.0,30690.0,197.4,828.8,1989.0,63.62,74.42,9.73,5,1
1623163671.818019,19690.0,57060.0,12730.0,30890.0,200.3,829.8,2002.0,63.61,74.14,9.68,5,1
1623163672.3651807,20020.0,57180.0,12840.0,31080.0,202.7,830.2,2014.0,63.58,73.99,9.64,5,1
1623163672.9329774,20220.0,57240.0,12930.0,31310.0,205.0,833.0,2027.0,63.61,74.34,9.64,5,1
1623163673.512317,20390.0,57300.0,13020.0,31510.0,206.2,836.2,2039.0,63.6,74.11,9.74,5,1
1623163674.1263268,20640.0,57360.0,13100.0,31690.0,207.9,839.0,2051.0,63.58,74.38,9.7,5,1
1623163674.791072,20740.0,57420.0,13160.0,31920.0,209.6,841.4,2062.0,63.56,74.07,9.79,5,1
1623163675.362389,20950.0,57450.0,13250.0,32150.0,210.8,844.1,2073.0,63.54,74.26,9.79,5,1
1623163675.9316516,21050.0,57500.0,13320.0,32320.0,212.6,846.5,2083.0,63.54,74.3,9.86,5,1
1623163676.5094888,21130.0,57540.0,13370.0,32530.0,213.1,848.3,2092.0,63.53,74.14,9.63,5,1
1623163677.1225584,21190.0,57590.0,13430.0,32750.0,214.3,849.7,2098.0,63.5,74.14,9.7,5,1
1623163677.7831855,21320.0,57640.0,13500.0,32970.0,216.1,851.1,2108.0,63.47,74.26,9.71,5,1
1623163678.454717,21410.0,57670.0,13560.0,33220.0,216.1,852.1,2117.0,63.46,74.07,9.78,5,1
1623163678.9335527,21480.0,57700.0,13600.0,33420.0,216.6,852.5,2121.0,63.45,74.22,9.82,5,1
1623163679.5313067,21580.0,57740.0,13650.0,33670.0,217.2,853.9,2129.0,63.43,74.38,9.76,5,1
1623163680.1194763,21580.0,57790.0,13700.0,33850.0,217.8,853.9,2134.0,63.4,74.26,9.77,5,1
