timestamp,TGS826,TGS2611,TGS2603,TGS813,TGS822,TGS2602,TGS823,temperatura,pressao,umidade,c_type,culture_day
1623257216.5117695,119000.0,7284.0,6003.0,54270.0,3628.0,36790.0,8029.0,27.8,100.46,37.62,6,2
1623257220.07194,117600.0,7298.0,6003.0,54960.0,3685.0,37890.0,8033.0,27.89,83.01,37.64,6,2
1623257221.258013,44930.0,7284.0,15140.0,54140.0,2132.0,9576.0,7175.0,28.03,75.24,37.2,6,2
1623257222.4972146,41670.0,10050.0,22660.0,52350.0,1383.0,4224.0,6087.0,28.23,75.04,39.22,6,2
1623257223.064424,43110.0,14900.0,24350.0,51550.0,1205.0,3492.0,5835.0,28.28,74.42,40.52,6,2
1623257223.6583383,45600.0,16670.0,25390.0,51000.0,1116.0,3181.0,5746.0,28.4,74.65,41.96,6,2
1623257224.2580175,49240.0,17390.0,26120.0,50940.0,1086.0,3047.0,5764.0,28.49,74.65,43.08,6,2
1623257224.8576734,53240.0,17340.0,26730.0,50400.0,1072.0,3028.0,5843.0,28.61,75.2,44.07,6,2
1623257225.4927535,57170.0,16940.0,27140.0,50230.0,1090.0,3085.0,5965.0,28.65,75.04,44.72,6,2
1623257226.0627637,60780.0,16320.0,27290.0,50180.0,1118.0,3208.0,6100.0,28.7,74.65,45.5,6,2
1623257226.6598296,63930.0,15680.0,27200.0,50230.0,1152.0,3358.0,6216.0,28.82,74.93,46.1,6,2
1623257227.257795,67000.0,15010.0,26970.0,50130.0,1188.0,3561.0,6352.0,28.88,74.85,46.39,6,2
1623257227.8767183,68960.0,14400.0,26520.0,50340.0,1230.0,3788.0,6465.0,28.95,74.42,46.73,6,2
1623257228.4870863,71030.0,12790.0,25990.0,50290.0,1269.0,4039.0,6568.0,29.01,74.69,47.03,6,2
1623257229.0596912,72780.0,12270.0,25320.0,50180.0,1309.0,4332.0,6674.0,29.06,74.42,47.12,6,2
1623257229.66063,74420.0,11820.0,24660.0,50070.0,1344.0,4629.0,6759.0,29.15,74.89,47.19,6,2
1623257230.2579613,75520.0,11330.0,23940.0,50180.0,1380.0,4950.0,6841.0,29.2,74.85,47.17,6,2
1623257230.8729007,76460.0,10890.0,23170.0,50290.0,1420.0,5277.0,6912.0,29.25,74.69,47.45,6,2
1623257231.4860232,77420.0,10480.0,22440.0,50450.0,1452.0,5619.0,6978.0,29.31,74.89,47.31,6,2
1623257232.153979,78300.0,10140.0,21690.0,50400.0,1486.0,5976.0,7039.0,29.36,75.04,47.15,6,2
1623257232.6569843,78700.0,9808.0,21020.0,50500.0,1513.0,6321.0,7096.0,29.39,74.38,47.17,6,2
1623257233.2584126,79450.0,9601.0,20390.0,50500.0,1543.0,6669.0,7141.0,29.45,74.81,47.08,6,2
1623257233.8686285,79810.0,9198.0,19790.0,50610.0,1573.0,7012.0,7182.0,29.49,74.54,46.97,6,2
1623257234.4815729,80170.0,8929.0,19220.0,50720.0,1601.0,7342.0,7219.0,29.55,75.04,46.91,6,2
1623257235.151394,80640.0,8647.0,18740.0,50890.0,1627.0,7648.0,7251.0,29.58,74.69,46.87,6,2
1623257235.721279,81270.0,8394.0,18270.0,50780.0,1652.0,7964.0,7288.0,29.61,74.54,46.64,6,2
1623257236.258511,81220.0,8186.0,17860.0,50940.0,1674.0,8255.0,7317.0,29.64,74.65,46.58,6,2
1623257236.876021,81800.0,7986.0,17490.0,51110.0,1703.0,8526.0,7344.0,29.68,74.5,46.53,6,2
1623257237.4785185,82560.0,7851.0,17130.0,51160.0,1727.0,8799.0,7371.0,29.73,74.54,46.47,6,2
1623257238.1460724,82560.0,7737.0,16830.0,51270.0,1749.0,9043.0,7390.0,29.76,74.65,46.34,6,2
1623257238.7191825,82720.0,7637.0,16550.0,51440.0,1765.0,9259.0,7409.0,29.79,74.77,46.3,6,2
1623257239.2592683,83110.0,7468.0,16290.0,51440.0,1791.0,9494.0,7427.0,29.83,74.65,46.07,6,2
1623257239.8708615,83330.0,7411.0,16040.0,51610.0,1810.0,9716.0,7447.0,29.86,74.65,46.1,6,2
1623257240.4744208,83550.0,7390.0,15820.0,51610.0,1828.0,9921.0,7461.0,29.89,74.38,45.99,6,2
1623257241.1488938,83880.0,7355.0,15640.0,51720.0,1844.0,10110.0,7478.0,29.92,74.38,45.78,6,2
1623257242.2582066,83770.0,7305.0,14980.0,50610.0,1871.0,10720.0,7505.0,30.2,100.22,47.48,6,2
1623257242.8660166,84900.0,7305.0,14700.0,51660.0,1900.0,11020.0,7527.0,30.17,100.07,49.26,6,2
1623257244.140297,86650.0,7305.0,14430.0,53230.0,1943.0,11340.0,7555.0,30.14,100.03,51.41,6,2
1623257244.7117205,87370.0,7305.0,14320.0,53900.0,1971.0,11470.0,7568.0,30.13,100.19,52.27,6,2
1623257245.257783,88040.0,7305.0,14250.0,54450.0,2002.0,11600.0,7588.0,30.11,100.15,53.08,6,2
1623257245.8843615,88720.0,7305.0,14160.0,54770.0,2019.0,11720.0,7598.0,30.1,100.19,53.69,6,2
1623257246.4698842,88650.0,7305.0,14090.0,55080.0,2042.0,11840.0,7609.0,30.08,100.15,54.17,6,2
1623257247.138846,88960.0,7298.0,14010.0,55340.0,2062.0,11950.0,7618.0,30.07,100.11,54.44,6,2
1623257247.709573,89400.0,7305.0,13930.0,55530.0,2081.0,12060.0,7629.0,30.06,100.19,54.75,6,2
1623257248.258342,89530.0,7305.0,13850.0,55730.0,2097.0,12160.0,7637.0,30.05,100.15,55.01,6,2
1623257248.8598187,89780.0,7305.0,13780.0,55860.0,2115.0,12270.0,7648.0,30.05,100.22,55.13,6,2
1623257249.4707038,90290.0,7305.0,13680.0,55730.0,2128.0,12380.0,7657.0,30.04,100.19,55.25,6,2
1623257250.132455,90160.0,7305.0,13610.0,55920.0,2148.0,12510.0,7663.0,30.02,100.07,55.33,6,2
1623257250.7109363,90290.0,7305.0,13520.0,56050.0,2162.0,12610.0,7670.0,30.02,100.07,55.35,6,2
1623257251.2578628,90350.0,7305.0,13440.0,56120.0,2177.0,12720.0,7676.0,30.02,100.11,55.35,6,2
1623257251.8597796,90550.0,7305.0,13370.0,56190.0,2188.0,12820.0,7682.0,30.02,100.11,55.44,6,2
1623257252.4637709,90290.0,7305.0,13290.0,56190.0,2201.0,12940.0,7687.0,30.02,100.22,55.41,6,2
1623257253.1305914,90420.0,7305.0,13210.0,56190.0,2213.0,13050.0,7695.0,30.01,100.15,55.23,6,2
1623257253.7026558,91320.0,7298.0,13130.0,56120.0,2223.0,13160.0,7695.0,30.01,100.07,55.18,6,2
1623257254.2592645,91130.0,7298.0,13050.0,56120.0,2234.0,13260.0,7702.0,30.01,100.11,55.16,6,2
1623257254.8590508,91520.0,7305.0,12980.0,56120.0,2247.0,13370.0,7708.0,30.0,100.07,55.15,6,2
1623257255.4604332,91190.0,7305.0,12900.0,56120.0,2256.0,13480.0,7714.0,30.0,100.11,55.07,6,2
1623257256.1529815,91390.0,7305.0,12820.0,56050.0,2267.0,13580.0,7717.0,30.01,100.11,54.89,6,2
1623257256.70021,91520.0,7305.0,12750.0,55990.0,2279.0,13670.0,7721.0,30.01,100.07,54.94,6,2
1623257257.257712,91520.0,7305.0,12690.0,55990.0,2285.0,13780.0,7725.0,30.01,100.11,54.77,6,2
1623257257.8588462,91720.0,7298.0,12620.0,55990.0,2293.0,13880.0,7731.0,30.01,100.15,54.62,6,2
1623257258.4822726,91720.0,7298.0,12550.0,55790.0,2305.0,13980.0,7734.0,30.02,100.07,54.56,6,2
1623257259.12718,91910.0,7305.0,12490.0,55860.0,2313.0,14080.0,7734.0,30.02,100.11,54.49,6,2
1623257259.6968646,91780.0,7298.0,12420.0,55600.0,2321.0,14170.0,7742.0,30.02,100.15,54.48,6,2
1623257260.2584946,92050.0,7298.0,12360.0,55600.0,2328.0,14270.0,7736.0,30.03,100.11,54.39,6,2
1623257260.8594072,92110.0,7298.0,12300.0,55600.0,2335.0,14360.0,7748.0,30.04,100.03,54.23,6,2
1623257261.4580505,92180.0,7305.0,12240.0,55210.0,2345.0,14450.0,7746.0,30.04,100.19,54.15,6,2
1623257262.1223943,92180.0,7298.0,12190.0,55400.0,2352.0,14540.0,7755.0,30.04,100.19,54.02,6,2
1623257262.6938295,92110.0,7298.0,12130.0,55400.0,2360.0,14630.0,7757.0,30.05,100.07,53.97,6,2
1623257263.2588298,92380.0,7298.0,12070.0,55270.0,2370.0,14730.0,7761.0,30.06,100.11,54.02,6,2
1623257263.858888,92450.0,7298.0,12010.0,55210.0,2374.0,14810.0,7763.0,30.07,100.07,53.87,6,2
1623257264.4963005,92310.0,7298.0,11960.0,55210.0,2383.0,14900.0,7768.0,30.08,100.11,53.8,6,2
1623257265.122145,92710.0,7298.0,11910.0,55080.0,2390.0,14980.0,7768.0,30.08,100.11,53.74,6,2
1623257265.6911154,92380.0,7305.0,11860.0,55020.0,2403.0,15080.0,7776.0,30.09,100.11,53.51,6,2
1623257266.2579007,92710.0,7298.0,11630.0,54960.0,2405.0,15150.0,7776.0,30.1,100.11,53.61,6,2
1623257266.8584669,92650.0,7291.0,9238.0,54770.0,2411.0,15250.0,7776.0,30.11,100.03,53.51,6,2
