fit_time;score_time;test_accuracy;train_accuracy;test_precision_macro;train_precision_macro;test_recall_macro;train_recall_macro;test_f1_macro;train_f1_macro
14.912.424.311.637.800;15.511.645.555.496.200;0,824159021;0,998086491;0,831336046;0,998035157;0,828096889;0,998059339;0,829092443;0,998046797
14.660.476.286.411.200;14.360.548.257.827.700;0,822629969;0,998469192;0,819284746;0,998442402;0,819179762;0,998442402;0,818167858;0,998442402
1.488.248.694.896.690;14.168.466.329.574.500;0,822358346;0,998469778;0,819143196;0,998385795;0,820023463;0,99853632;0,818804546;0,99845552
14.737.903.895.378.100;1.691.601.824.760.430;0,820826953;0,998087223;0,823469521;0,998073762;0,82044317;0,998027745;0,820591712;0,998050322
14.482.723.948.955.500;13.972.985.982.894.800;0,836140888;0,996939556;0,831451087;0,996941659;0,830938096;0,99694683;0,831122202;0,996942497
1.455.044.263.124.460;1.448.367.977.142.330;0,825688073;0,998086491;0,828725727;0,998033488;0,82698236;0,998085934;0,827013459;0,998058461
14.684.501.440.525.000;14.170.557.737.350.400;0,816513761;0,998086491;0,818909365;0,998083276;0,813646876;0,998067204;0,815271483;0,998074791
1.528.770.843.744.270;14.962.396.144.866.900;0,817764165;0,998087223;0,819572059;0,998020362;0,81941702;0,998048063;0,818875341;0,998033748
1.622.521.258.354.180;14.562.036.991.119.300;0,82388974;0,996939556;0,822301699;0,996924126;0,820287963;0,996889952;0,820636118;0,996905401
14.995.562.093.257.900;14.616.931.676.864.600;0,814701378;0,998852334;0,816623098;0,998868778;0,812329179;0,998826291;0,812744371;0,998843535
;;;;;;;;;
;;0,822467229;0,998010433;0,823081654;0,997980881;0,821134478;0,997993008;0,821231953;0,997985347
