fit_time;score_time;test_accuracy;train_accuracy;test_precision_macro;train_precision_macro;test_recall_macro;train_recall_macro;test_f1_macro;train_f1_macro
516.803.614.616.394;5.045.513.153.076.170;0,922018349;0,997321087;0,921236857;0,997411324;0,918388517;0,997266978;0,918925218;0,997332109
5.907.984.669.208.520;5.588.432.397.842.400;0,911314985;0,996555683;0,912950346;0,996693604;0,911716272;0,996441693;0,91188916;0,996552099
5.813.697.185.516.350;5.400.113.408.565.520;0,91424196;0,997704667;0,912353614;0,997657964;0,91338337;0,997635934;0,911994636;0,997634377
600.511.638.879.776;5.477.162.215.709.680;0,946401225;0,998852334;0,946441104;0,99885905;0,945455336;0,998837557;0,945421886;0,998847402
6.571.506.035.327.910;5.490.832.483.768.460;0,905053599;0,997704667;0,904803079;0,997668332;0,904040856;0,997739179;0,903558436;0,997701998
6.072.842.102.050.780;514.547.513.961.792;0,914373089;0,998851894;0,913863879;0,998840298;0,911192973;0,998865832;0,911431783;0,998852199
4.973.742.027.282.710;44.370.022.201.538.000;0,931192661;1;0,932310076;1;0,928868185;1;0,92958838;1
5.608.413.217.067.710;5.599.659.423.828.120;0,898928025;0,997322112;0,898248149;0,997324638;0,899723691;0,997241884;0,898599368;0,997281016
5.062.799.472.808.830;46.219.202.709.198;0,877488515;0,996557001;0,879968944;0,996568016;0,882964564;0,996438654;0,880424072;0,996499589
5.656.069.729.328.150;5.912.221.260.070.800;0,923430322;0,998852334;0,925418412;0,998870592;0,919120417;0,998799331;0,919775923;0,998832693
;;;;;;;;;
4.678.436.969.208.710;8.344.472.326.107.010;0,914444273;0,997972178;0,914759446;0,997989382;0,913485418;0,997926704;0,913160886;0,997953348
