fit_time;score_time;test_accuracy;train_accuracy;test_precision_macro;train_precision_macro;test_recall_macro;train_recall_macro;test_f1_macro;train_f1_macro
4.830.336.754.322.050;9.520.130.705.833.430;0,95412844;1;0,955794821;1;0,954043795;1;0,954567211;1
3.239.192.235.469.810;6.708.152.055.740.350;0,9617737;1;0,962544057;1;0,961020307;1;0,961435529;1
31.765.518.021.583.500;6.523.007.607.460.020;0,93568147;1;0,935321196;1;0,936177576;1;0,93490148;1
31.699.540.162.086.400;646.809.983.253.479;0,952526799;1;0,951195077;1;0,951411713;1;0,951219671;1
317.874.484.539.032;6.492.307.591.438.290;0,949464012;1;0,947872662;1;0,946195655;1;0,946942061;1
3.116.724.956.035.610;6.508.500.099.182.120;0,958715596;1;0,959386098;1;0,959220707;1;0,958839821;1
3.169.795.000.553.130;6.523.337.507.247.920;0,960244648;1;0,96097294;1;0,959362631;1;0,95992216;1
3.183.088.209.629.050;6.508.300.042.152.400;0,949464012;1;0,948731816;1;0,949433692;1;0,948908166;1
31.746.233.010.292.000;6.496.513.056.755.060;0,952526799;1;0,952527692;1;0,951765272;1;0,951639872;1
31.550.153.374.671.900;6.485.500.311.851.500;0,964777948;1;0,963920797;1;0,963681199;1;0,963627807;1
;;;;;;;;;
;;0,953930342;1;0,953826716;1;0,953231255;1;0,953200378;1
