fit_time;score_time;test_accuracy;train_accuracy;test_precision_macro;train_precision_macro;test_recall_macro;train_recall_macro;test_f1_macro;train_f1_macro
18.502.082.109.451.200;3.187.995.195.388.790;0,955657492;1;0,957748387;1;0,954617819;1;0,955816751;1
2.072.308.850.288.390;3.440.549.850.463.860;0,94648318;0,999234596;0,948104373;0,999180999;0,944565478;0,999247555;0,945378163;0,999212417
1.877.776.861.190.790;2.984.036.684.036.250;0,923430322;1;0,921446984;1;0,924626784;1;0,922072193;1
19.567.397.356.033.300;3.007.279.872.894.280;0,93568147;0,999617445;0,935559722;0,999605989;0,934697471;0,999617737;0,93438606;0,99961141
191.779.944.896.698;2.977.003.812.789.910;0,946401225;0,999617445;0,946267533;0,999613302;0,94453191;0,999619482;0,945167137;0,99961595
1.891.733.169.555.660;28.831.946.849.823;0,943425076;0,998851894;0,944112204;0,998823529;0,944150618;0,998863636;0,943523611;0,998839556
18.125.996.351.242.000;26.910.009.384.155.200;0,940366972;1;0,941755288;1;0,93835142;1;0,939042583;1
17.685.670.614.242.500;25.790.023.803.710.900;0,943338438;1;0,944415742;1;0,944269409;1;0,944140899;1
18.752.637.147.903.400;2.856.513.500.213.620;0,924961715;0,999617445;0,924693061;0,999614198;0,92336241;0,999621212;0,923358322;0,999617266
18.980.013.608.932.400;2.963.574.171.066.280;0,952526799;0,999234889;0,952370367;0,999185004;0,95076395;0,999240699;0,950993059;0,999210986
;;;;;;;;;
;;0,941227269;0,999617371;0,941647366;0,999602302;0,940393727;0,999621032;0,940387878;0,999610759
