fit_time;score_time;test_accuracy;train_accuracy;test_precision_macro;train_precision_macro;test_recall_macro;train_recall_macro;test_f1_macro;train_f1_macro
6.430.750.074.386.590;1.203.038.215.637.200;0,934250765;1;0,933756742;1;0,936438492;1;0,934868556;1
7.245.469.098.091.120;14.729.952.812.194.800;0,929663609;1;0,929455748;1;0,927509865;1;0,928077913;1
6.997.364.432.811.730;13.420.381.546.020.500;0,938744257;1;0,93766834;1;0,938975419;1;0,937937046;1
6.492.135.632.038.110;12.710.251.808.166.500;0,941807044;1;0,941079975;1;0,941104773;1;0,940801813;1
637.284.704.208.374;11.220.035.552.978.500;0,93568147;1;0,933159572;1;0,93521801;1;0,933752495;1
6.362.864.406.108.850;0.9660086631774902;0,941896024;1;0,942840303;1;0,942425644;1;0,942545526;1
634.132.331.609.726;11.660.475.730.895.900;0,95412844;1;0,954223378;1;0,953805495;1;0,953883286;1
6.321.499.443.054.190;13.110.663.890.838.600;0,911179173;1;0,910485149;1;0,912227125;1;0,911199764;1
6.758.055.579.662.320;1.069.089.651.107.780;0,940275651;1;0,939840438;1;0,939259196;1;0,93908898;1
6.594.038.474.559.780;11.879.990.100.860.500;0,949464012;1;0,948837991;1;0,947371027;1;0,9477029;1
;;;;;;;;;
;;0,937709045;1;0,937134764;1;0,937433505;1;0,936985828;1
