fit_time;score_time;test_accuracy;train_accuracy;test_precision_macro;train_precision_macro;test_recall_macro;train_recall_macro;test_f1_macro;train_f1_macro
29.843.061.685.562.100;10.952.231.884.002.600;0,94648318;1;0,948897203;1;0,946364219;1;0,947062202;1
2.986.857.795.715.330;11.194.915.771.484.300;0,957186544;1;0,956792523;1;0,956042921;1;0,956150165;1
3.035.121.440.887.450;11.240.148.544.311.500;0,946401225;1;0,945372319;1;0,947411796;1;0,945940502;1
2.686.269.760.131.830;10.065.345.764.160.100;0,949464012;1;0,949195226;1;0,948677439;1;0,948475555;1
27.964.080.810.546.800;10.105.717.182.159.400;0,960183767;1;0,959954603;1;0,958384737;1;0,959039415;1
28.488.506.317.138.600;1.061.408.281.326.290;0,951070336;1;0,952399556;1;0,951726368;1;0,951383854;1
29.186.553.239.822.300;0.9715068340301514;0,95412844;1;0,955372409;1;0,95335142;1;0,953994412;1
29.131.212.949.752.800;11.353.802.680.969.200;0,947932619;1;0,947832094;1;0,947088423;1;0,9471801;1
29.439.628.839.492.700;0.9871480464935303;0,954058193;1;0,953345855;1;0,953037682;1;0,953045159;1
2.932.778.573.036.190;0.970026969909668;0,967840735;1;0,96745065;1;0,96757551;1;0,967387299;1
;;;;;;;;;
;;0,953474905;1;0,953661244;1;0,952966052;1;0,952965866;1
