classifier_name;archive_name;dataset_name;ord1;ord2;iteration;precision;accuracy;recall;f1_score;std;duration
inception;TSC;AllCandidas;0.0;0.0;0.0;0,989009066;0,988982162;0,989058902;0,989025154;0.0;1.529.532.164.812.080
inception;TSC_itr_1;AllCandidas;1.0;0.0;1.0;0,989332633;0,989296957;0,98936048;0,98934369;0.0;147.313.858.628.273
inception;TSC_itr_2;AllCandidas;2.0;0.0;2.0;0,989841935;0,989821616;0,989897767;0,98986485;0.0;14.857.892.937.660.200
inception;TSC_itr_3;AllCandidas;3.0;0.0;3.0;0,988162613;0,988142707;0,988227623;0,988187615;0.0;14.635.785.145.759.500
inception;TSC_itr_4;AllCandidas;4.0;0.0;4.0;0,990263868;0,990241343;0,990322116;0,990289144;0.0;14.838.982.818.126.600
inception;TSC_itr_5;AllCandidas;5.0;0.0;5.0;0,989736347;0,989716684;0,989797986;0,989760515;0.0;14.884.458.603.858.900
inception;TSC_itr_6;AllCandidas;6.0;0.0;6.0;0,990077596;0,99003148;0,99008914;0,990078384;0.0;1.474.715.161.561.960
inception;TSC_itr_7;AllCandidas;7.0;0.0;7.0;0,989948779;0,989926548;0,990011373;0,989973741;0.0;1.453.609.491.109.840
inception;TSC_itr_8;AllCandidas;8.0;0.0;8.0;0,989652907;0,989611752;0,989701192;0,989672895;0.0;14.609.415.225.982.600
inception;TSC_itr_9;AllCandidas;9.0;0.0;9.0;0,987266181;0,987198321;0,987255032;0,98725734;0.0;1.473.562.037.229.530
;;;;;;;;;;;
;;;;;;0,989329192;0,989296957;0,989372161;0,989345333;;
